row	abbrev	team	conference	status	reason
107	BGSU	Bowling Green	MAC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
108	BUFF	Buffalo	MAC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
109	CMU	Central Michigan	MAC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
110	EMU	Eastern Michigan	MAC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
111	KENT	Kent State	MAC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
112	M-OH	Miami (OH)	MAC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
113	OHIO	Ohio	MAC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
114	SAC	Sacramento State	MAC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
115	TOL	Toledo	MAC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
116	MASS	UMass	MAC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
117	WMU	Western Michigan	MAC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
118	AFA	Air Force	Mountain West	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
119	HAW	Hawai'i	Mountain West	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
120	NEV	Nevada	Mountain West	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
121	UNM	New Mexico	Mountain West	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
122	NDSU	North Dakota State	Mountain West	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
123	NIU	Northern Illinois	Mountain West	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
124	SJSU	San José State	Mountain West	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
125	UNLV	UNLV	Mountain West	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
126	UTEP	UTEP	Mountain West	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
127	WYO	Wyoming	Mountain West	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
128	APP	Appalachian State	Sun Belt	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
129	ARST	Arkansas State	Sun Belt	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
130	CCU	Coastal Carolina	Sun Belt	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
131	GASO	Georgia Southern	Sun Belt	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
132	GAST	Georgia State	Sun Belt	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
133	JMU	James Madison	Sun Belt	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
134	ULL	Louisiana	Sun Belt	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
135	LT	Louisiana Tech	Sun Belt	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
136	MRSH	Marshall	Sun Belt	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
137	ODU	Old Dominion	Sun Belt	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
138	USA	South Alabama	Sun Belt	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
139	USM	Southern Miss	Sun Belt	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
140	TROY	Troy	Sun Belt	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
141	ULM	ULM	Sun Belt	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
142	ND	Notre Dame	Independent	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
143	CONN	UConn	Independent	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
