sheet,cell,row,column,live,authoritative,why
ENGINE,AB124,124,28,"=IF($AA124="""","""",IF(ABS($AA124)<SETTINGS!$B$8*2,"""",IF(ABS($AA124)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI124<>""READY"",ABS($AA124)<SETTINGS!$B$10*2,$AF124<>"""",$AG124<>""""),""INVESTIGATE"",""BET""))))","=IF($AA124="""","""",IF(ABS($AA124)<SETTINGS!$B$49,"""",IF(ABS($AA124)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI124<>""READY"",ABS($AA124)<SETTINGS!$B$51,$AF124<>"""",$AG124<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB125,125,28,"=IF($AA125="""","""",IF(ABS($AA125)<SETTINGS!$B$8*2,"""",IF(ABS($AA125)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI125<>""READY"",ABS($AA125)<SETTINGS!$B$10*2,$AF125<>"""",$AG125<>""""),""INVESTIGATE"",""BET""))))","=IF($AA125="""","""",IF(ABS($AA125)<SETTINGS!$B$49,"""",IF(ABS($AA125)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI125<>""READY"",ABS($AA125)<SETTINGS!$B$51,$AF125<>"""",$AG125<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB126,126,28,"=IF($AA126="""","""",IF(ABS($AA126)<SETTINGS!$B$8*2,"""",IF(ABS($AA126)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI126<>""READY"",ABS($AA126)<SETTINGS!$B$10*2,$AF126<>"""",$AG126<>""""),""INVESTIGATE"",""BET""))))","=IF($AA126="""","""",IF(ABS($AA126)<SETTINGS!$B$49,"""",IF(ABS($AA126)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI126<>""READY"",ABS($AA126)<SETTINGS!$B$51,$AF126<>"""",$AG126<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB127,127,28,"=IF($AA127="""","""",IF(ABS($AA127)<SETTINGS!$B$8*2,"""",IF(ABS($AA127)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI127<>""READY"",ABS($AA127)<SETTINGS!$B$10*2,$AF127<>"""",$AG127<>""""),""INVESTIGATE"",""BET""))))","=IF($AA127="""","""",IF(ABS($AA127)<SETTINGS!$B$49,"""",IF(ABS($AA127)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI127<>""READY"",ABS($AA127)<SETTINGS!$B$51,$AF127<>"""",$AG127<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB128,128,28,"=IF($AA128="""","""",IF(ABS($AA128)<SETTINGS!$B$8*2,"""",IF(ABS($AA128)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI128<>""READY"",ABS($AA128)<SETTINGS!$B$10*2,$AF128<>"""",$AG128<>""""),""INVESTIGATE"",""BET""))))","=IF($AA128="""","""",IF(ABS($AA128)<SETTINGS!$B$49,"""",IF(ABS($AA128)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI128<>""READY"",ABS($AA128)<SETTINGS!$B$51,$AF128<>"""",$AG128<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB129,129,28,"=IF($AA129="""","""",IF(ABS($AA129)<SETTINGS!$B$8*2,"""",IF(ABS($AA129)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI129<>""READY"",ABS($AA129)<SETTINGS!$B$10*2,$AF129<>"""",$AG129<>""""),""INVESTIGATE"",""BET""))))","=IF($AA129="""","""",IF(ABS($AA129)<SETTINGS!$B$49,"""",IF(ABS($AA129)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI129<>""READY"",ABS($AA129)<SETTINGS!$B$51,$AF129<>"""",$AG129<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB130,130,28,"=IF($AA130="""","""",IF(ABS($AA130)<SETTINGS!$B$8*2,"""",IF(ABS($AA130)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI130<>""READY"",ABS($AA130)<SETTINGS!$B$10*2,$AF130<>"""",$AG130<>""""),""INVESTIGATE"",""BET""))))","=IF($AA130="""","""",IF(ABS($AA130)<SETTINGS!$B$49,"""",IF(ABS($AA130)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI130<>""READY"",ABS($AA130)<SETTINGS!$B$51,$AF130<>"""",$AG130<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB131,131,28,"=IF($AA131="""","""",IF(ABS($AA131)<SETTINGS!$B$8*2,"""",IF(ABS($AA131)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI131<>""READY"",ABS($AA131)<SETTINGS!$B$10*2,$AF131<>"""",$AG131<>""""),""INVESTIGATE"",""BET""))))","=IF($AA131="""","""",IF(ABS($AA131)<SETTINGS!$B$49,"""",IF(ABS($AA131)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI131<>""READY"",ABS($AA131)<SETTINGS!$B$51,$AF131<>"""",$AG131<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB132,132,28,"=IF($AA132="""","""",IF(ABS($AA132)<SETTINGS!$B$8*2,"""",IF(ABS($AA132)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI132<>""READY"",ABS($AA132)<SETTINGS!$B$10*2,$AF132<>"""",$AG132<>""""),""INVESTIGATE"",""BET""))))","=IF($AA132="""","""",IF(ABS($AA132)<SETTINGS!$B$49,"""",IF(ABS($AA132)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI132<>""READY"",ABS($AA132)<SETTINGS!$B$51,$AF132<>"""",$AG132<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB133,133,28,"=IF($AA133="""","""",IF(ABS($AA133)<SETTINGS!$B$8*2,"""",IF(ABS($AA133)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI133<>""READY"",ABS($AA133)<SETTINGS!$B$10*2,$AF133<>"""",$AG133<>""""),""INVESTIGATE"",""BET""))))","=IF($AA133="""","""",IF(ABS($AA133)<SETTINGS!$B$49,"""",IF(ABS($AA133)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI133<>""READY"",ABS($AA133)<SETTINGS!$B$51,$AF133<>"""",$AG133<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB134,134,28,"=IF($AA134="""","""",IF(ABS($AA134)<SETTINGS!$B$8*2,"""",IF(ABS($AA134)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI134<>""READY"",ABS($AA134)<SETTINGS!$B$10*2,$AF134<>"""",$AG134<>""""),""INVESTIGATE"",""BET""))))","=IF($AA134="""","""",IF(ABS($AA134)<SETTINGS!$B$49,"""",IF(ABS($AA134)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI134<>""READY"",ABS($AA134)<SETTINGS!$B$51,$AF134<>"""",$AG134<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB135,135,28,"=IF($AA135="""","""",IF(ABS($AA135)<SETTINGS!$B$8*2,"""",IF(ABS($AA135)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI135<>""READY"",ABS($AA135)<SETTINGS!$B$10*2,$AF135<>"""",$AG135<>""""),""INVESTIGATE"",""BET""))))","=IF($AA135="""","""",IF(ABS($AA135)<SETTINGS!$B$49,"""",IF(ABS($AA135)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI135<>""READY"",ABS($AA135)<SETTINGS!$B$51,$AF135<>"""",$AG135<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB136,136,28,"=IF($AA136="""","""",IF(ABS($AA136)<SETTINGS!$B$8*2,"""",IF(ABS($AA136)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI136<>""READY"",ABS($AA136)<SETTINGS!$B$10*2,$AF136<>"""",$AG136<>""""),""INVESTIGATE"",""BET""))))","=IF($AA136="""","""",IF(ABS($AA136)<SETTINGS!$B$49,"""",IF(ABS($AA136)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI136<>""READY"",ABS($AA136)<SETTINGS!$B$51,$AF136<>"""",$AG136<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB137,137,28,"=IF($AA137="""","""",IF(ABS($AA137)<SETTINGS!$B$8*2,"""",IF(ABS($AA137)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI137<>""READY"",ABS($AA137)<SETTINGS!$B$10*2,$AF137<>"""",$AG137<>""""),""INVESTIGATE"",""BET""))))","=IF($AA137="""","""",IF(ABS($AA137)<SETTINGS!$B$49,"""",IF(ABS($AA137)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI137<>""READY"",ABS($AA137)<SETTINGS!$B$51,$AF137<>"""",$AG137<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB138,138,28,"=IF($AA138="""","""",IF(ABS($AA138)<SETTINGS!$B$8*2,"""",IF(ABS($AA138)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI138<>""READY"",ABS($AA138)<SETTINGS!$B$10*2,$AF138<>"""",$AG138<>""""),""INVESTIGATE"",""BET""))))","=IF($AA138="""","""",IF(ABS($AA138)<SETTINGS!$B$49,"""",IF(ABS($AA138)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI138<>""READY"",ABS($AA138)<SETTINGS!$B$51,$AF138<>"""",$AG138<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB139,139,28,"=IF($AA139="""","""",IF(ABS($AA139)<SETTINGS!$B$8*2,"""",IF(ABS($AA139)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI139<>""READY"",ABS($AA139)<SETTINGS!$B$10*2,$AF139<>"""",$AG139<>""""),""INVESTIGATE"",""BET""))))","=IF($AA139="""","""",IF(ABS($AA139)<SETTINGS!$B$49,"""",IF(ABS($AA139)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI139<>""READY"",ABS($AA139)<SETTINGS!$B$51,$AF139<>"""",$AG139<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB140,140,28,"=IF($AA140="""","""",IF(ABS($AA140)<SETTINGS!$B$8*2,"""",IF(ABS($AA140)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI140<>""READY"",ABS($AA140)<SETTINGS!$B$10*2,$AF140<>"""",$AG140<>""""),""INVESTIGATE"",""BET""))))","=IF($AA140="""","""",IF(ABS($AA140)<SETTINGS!$B$49,"""",IF(ABS($AA140)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI140<>""READY"",ABS($AA140)<SETTINGS!$B$51,$AF140<>"""",$AG140<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB141,141,28,"=IF($AA141="""","""",IF(ABS($AA141)<SETTINGS!$B$8*2,"""",IF(ABS($AA141)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI141<>""READY"",ABS($AA141)<SETTINGS!$B$10*2,$AF141<>"""",$AG141<>""""),""INVESTIGATE"",""BET""))))","=IF($AA141="""","""",IF(ABS($AA141)<SETTINGS!$B$49,"""",IF(ABS($AA141)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI141<>""READY"",ABS($AA141)<SETTINGS!$B$51,$AF141<>"""",$AG141<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB142,142,28,"=IF($AA142="""","""",IF(ABS($AA142)<SETTINGS!$B$8*2,"""",IF(ABS($AA142)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI142<>""READY"",ABS($AA142)<SETTINGS!$B$10*2,$AF142<>"""",$AG142<>""""),""INVESTIGATE"",""BET""))))","=IF($AA142="""","""",IF(ABS($AA142)<SETTINGS!$B$49,"""",IF(ABS($AA142)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI142<>""READY"",ABS($AA142)<SETTINGS!$B$51,$AF142<>"""",$AG142<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB143,143,28,"=IF($AA143="""","""",IF(ABS($AA143)<SETTINGS!$B$8*2,"""",IF(ABS($AA143)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI143<>""READY"",ABS($AA143)<SETTINGS!$B$10*2,$AF143<>"""",$AG143<>""""),""INVESTIGATE"",""BET""))))","=IF($AA143="""","""",IF(ABS($AA143)<SETTINGS!$B$49,"""",IF(ABS($AA143)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI143<>""READY"",ABS($AA143)<SETTINGS!$B$51,$AF143<>"""",$AG143<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB144,144,28,"=IF($AA144="""","""",IF(ABS($AA144)<SETTINGS!$B$8*2,"""",IF(ABS($AA144)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI144<>""READY"",ABS($AA144)<SETTINGS!$B$10*2,$AF144<>"""",$AG144<>""""),""INVESTIGATE"",""BET""))))","=IF($AA144="""","""",IF(ABS($AA144)<SETTINGS!$B$49,"""",IF(ABS($AA144)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI144<>""READY"",ABS($AA144)<SETTINGS!$B$51,$AF144<>"""",$AG144<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB145,145,28,"=IF($AA145="""","""",IF(ABS($AA145)<SETTINGS!$B$8*2,"""",IF(ABS($AA145)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI145<>""READY"",ABS($AA145)<SETTINGS!$B$10*2,$AF145<>"""",$AG145<>""""),""INVESTIGATE"",""BET""))))","=IF($AA145="""","""",IF(ABS($AA145)<SETTINGS!$B$49,"""",IF(ABS($AA145)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI145<>""READY"",ABS($AA145)<SETTINGS!$B$51,$AF145<>"""",$AG145<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB146,146,28,"=IF($AA146="""","""",IF(ABS($AA146)<SETTINGS!$B$8*2,"""",IF(ABS($AA146)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI146<>""READY"",ABS($AA146)<SETTINGS!$B$10*2,$AF146<>"""",$AG146<>""""),""INVESTIGATE"",""BET""))))","=IF($AA146="""","""",IF(ABS($AA146)<SETTINGS!$B$49,"""",IF(ABS($AA146)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI146<>""READY"",ABS($AA146)<SETTINGS!$B$51,$AF146<>"""",$AG146<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB147,147,28,"=IF($AA147="""","""",IF(ABS($AA147)<SETTINGS!$B$8*2,"""",IF(ABS($AA147)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI147<>""READY"",ABS($AA147)<SETTINGS!$B$10*2,$AF147<>"""",$AG147<>""""),""INVESTIGATE"",""BET""))))","=IF($AA147="""","""",IF(ABS($AA147)<SETTINGS!$B$49,"""",IF(ABS($AA147)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI147<>""READY"",ABS($AA147)<SETTINGS!$B$51,$AF147<>"""",$AG147<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB148,148,28,"=IF($AA148="""","""",IF(ABS($AA148)<SETTINGS!$B$8*2,"""",IF(ABS($AA148)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI148<>""READY"",ABS($AA148)<SETTINGS!$B$10*2,$AF148<>"""",$AG148<>""""),""INVESTIGATE"",""BET""))))","=IF($AA148="""","""",IF(ABS($AA148)<SETTINGS!$B$49,"""",IF(ABS($AA148)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI148<>""READY"",ABS($AA148)<SETTINGS!$B$51,$AF148<>"""",$AG148<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB149,149,28,"=IF($AA149="""","""",IF(ABS($AA149)<SETTINGS!$B$8*2,"""",IF(ABS($AA149)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI149<>""READY"",ABS($AA149)<SETTINGS!$B$10*2,$AF149<>"""",$AG149<>""""),""INVESTIGATE"",""BET""))))","=IF($AA149="""","""",IF(ABS($AA149)<SETTINGS!$B$49,"""",IF(ABS($AA149)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI149<>""READY"",ABS($AA149)<SETTINGS!$B$51,$AF149<>"""",$AG149<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB150,150,28,"=IF($AA150="""","""",IF(ABS($AA150)<SETTINGS!$B$8*2,"""",IF(ABS($AA150)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI150<>""READY"",ABS($AA150)<SETTINGS!$B$10*2,$AF150<>"""",$AG150<>""""),""INVESTIGATE"",""BET""))))","=IF($AA150="""","""",IF(ABS($AA150)<SETTINGS!$B$49,"""",IF(ABS($AA150)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI150<>""READY"",ABS($AA150)<SETTINGS!$B$51,$AF150<>"""",$AG150<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB151,151,28,"=IF($AA151="""","""",IF(ABS($AA151)<SETTINGS!$B$8*2,"""",IF(ABS($AA151)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI151<>""READY"",ABS($AA151)<SETTINGS!$B$10*2,$AF151<>"""",$AG151<>""""),""INVESTIGATE"",""BET""))))","=IF($AA151="""","""",IF(ABS($AA151)<SETTINGS!$B$49,"""",IF(ABS($AA151)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI151<>""READY"",ABS($AA151)<SETTINGS!$B$51,$AF151<>"""",$AG151<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB152,152,28,"=IF($AA152="""","""",IF(ABS($AA152)<SETTINGS!$B$8*2,"""",IF(ABS($AA152)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI152<>""READY"",ABS($AA152)<SETTINGS!$B$10*2,$AF152<>"""",$AG152<>""""),""INVESTIGATE"",""BET""))))","=IF($AA152="""","""",IF(ABS($AA152)<SETTINGS!$B$49,"""",IF(ABS($AA152)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI152<>""READY"",ABS($AA152)<SETTINGS!$B$51,$AF152<>"""",$AG152<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB153,153,28,"=IF($AA153="""","""",IF(ABS($AA153)<SETTINGS!$B$8*2,"""",IF(ABS($AA153)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI153<>""READY"",ABS($AA153)<SETTINGS!$B$10*2,$AF153<>"""",$AG153<>""""),""INVESTIGATE"",""BET""))))","=IF($AA153="""","""",IF(ABS($AA153)<SETTINGS!$B$49,"""",IF(ABS($AA153)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI153<>""READY"",ABS($AA153)<SETTINGS!$B$51,$AF153<>"""",$AG153<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB154,154,28,"=IF($AA154="""","""",IF(ABS($AA154)<SETTINGS!$B$8*2,"""",IF(ABS($AA154)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI154<>""READY"",ABS($AA154)<SETTINGS!$B$10*2,$AF154<>"""",$AG154<>""""),""INVESTIGATE"",""BET""))))","=IF($AA154="""","""",IF(ABS($AA154)<SETTINGS!$B$49,"""",IF(ABS($AA154)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI154<>""READY"",ABS($AA154)<SETTINGS!$B$51,$AF154<>"""",$AG154<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB155,155,28,"=IF($AA155="""","""",IF(ABS($AA155)<SETTINGS!$B$8*2,"""",IF(ABS($AA155)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI155<>""READY"",ABS($AA155)<SETTINGS!$B$10*2,$AF155<>"""",$AG155<>""""),""INVESTIGATE"",""BET""))))","=IF($AA155="""","""",IF(ABS($AA155)<SETTINGS!$B$49,"""",IF(ABS($AA155)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI155<>""READY"",ABS($AA155)<SETTINGS!$B$51,$AF155<>"""",$AG155<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB156,156,28,"=IF($AA156="""","""",IF(ABS($AA156)<SETTINGS!$B$8*2,"""",IF(ABS($AA156)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI156<>""READY"",ABS($AA156)<SETTINGS!$B$10*2,$AF156<>"""",$AG156<>""""),""INVESTIGATE"",""BET""))))","=IF($AA156="""","""",IF(ABS($AA156)<SETTINGS!$B$49,"""",IF(ABS($AA156)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI156<>""READY"",ABS($AA156)<SETTINGS!$B$51,$AF156<>"""",$AG156<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB157,157,28,"=IF($AA157="""","""",IF(ABS($AA157)<SETTINGS!$B$8*2,"""",IF(ABS($AA157)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI157<>""READY"",ABS($AA157)<SETTINGS!$B$10*2,$AF157<>"""",$AG157<>""""),""INVESTIGATE"",""BET""))))","=IF($AA157="""","""",IF(ABS($AA157)<SETTINGS!$B$49,"""",IF(ABS($AA157)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI157<>""READY"",ABS($AA157)<SETTINGS!$B$51,$AF157<>"""",$AG157<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB158,158,28,"=IF($AA158="""","""",IF(ABS($AA158)<SETTINGS!$B$8*2,"""",IF(ABS($AA158)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI158<>""READY"",ABS($AA158)<SETTINGS!$B$10*2,$AF158<>"""",$AG158<>""""),""INVESTIGATE"",""BET""))))","=IF($AA158="""","""",IF(ABS($AA158)<SETTINGS!$B$49,"""",IF(ABS($AA158)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI158<>""READY"",ABS($AA158)<SETTINGS!$B$51,$AF158<>"""",$AG158<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB159,159,28,"=IF($AA159="""","""",IF(ABS($AA159)<SETTINGS!$B$8*2,"""",IF(ABS($AA159)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI159<>""READY"",ABS($AA159)<SETTINGS!$B$10*2,$AF159<>"""",$AG159<>""""),""INVESTIGATE"",""BET""))))","=IF($AA159="""","""",IF(ABS($AA159)<SETTINGS!$B$49,"""",IF(ABS($AA159)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI159<>""READY"",ABS($AA159)<SETTINGS!$B$51,$AF159<>"""",$AG159<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB160,160,28,"=IF($AA160="""","""",IF(ABS($AA160)<SETTINGS!$B$8*2,"""",IF(ABS($AA160)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI160<>""READY"",ABS($AA160)<SETTINGS!$B$10*2,$AF160<>"""",$AG160<>""""),""INVESTIGATE"",""BET""))))","=IF($AA160="""","""",IF(ABS($AA160)<SETTINGS!$B$49,"""",IF(ABS($AA160)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI160<>""READY"",ABS($AA160)<SETTINGS!$B$51,$AF160<>"""",$AG160<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB161,161,28,"=IF($AA161="""","""",IF(ABS($AA161)<SETTINGS!$B$8*2,"""",IF(ABS($AA161)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI161<>""READY"",ABS($AA161)<SETTINGS!$B$10*2,$AF161<>"""",$AG161<>""""),""INVESTIGATE"",""BET""))))","=IF($AA161="""","""",IF(ABS($AA161)<SETTINGS!$B$49,"""",IF(ABS($AA161)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI161<>""READY"",ABS($AA161)<SETTINGS!$B$51,$AF161<>"""",$AG161<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
