sheet	cell	v0.5.1_value	v0.5.2_value
ENGINE	AI103	'=IF($A103="","",IF($AH103<>"","BLOCKED",IF($AG103<>"","FCS — NO PLAY",IF(CALC!$S103=1,"PENDING LINE",IF(CALC!$Q103=1,"STALE LINE",IF($AE103="QB UNCERTAIN","QB UNCERTAIN",IF($AF103<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B103="",$C103=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A103="","",IF($AH103<>"","BLOCKED",IF($AG103<>"","FCS — NO PLAY",IF(CALC!$S103=1,"PENDING LINE",IF(CALC!$Q103=1,"STALE LINE",IF($AE103="QB UNCERTAIN","QB UNCERTAIN",IF($AF103<>"","TRANSITION UNCERTAIN",IF(OR($B103="",$C103=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI104	'=IF($A104="","",IF($AH104<>"","BLOCKED",IF($AG104<>"","FCS — NO PLAY",IF(CALC!$S104=1,"PENDING LINE",IF(CALC!$Q104=1,"STALE LINE",IF($AE104="QB UNCERTAIN","QB UNCERTAIN",IF($AF104<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B104="",$C104=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A104="","",IF($AH104<>"","BLOCKED",IF($AG104<>"","FCS — NO PLAY",IF(CALC!$S104=1,"PENDING LINE",IF(CALC!$Q104=1,"STALE LINE",IF($AE104="QB UNCERTAIN","QB UNCERTAIN",IF($AF104<>"","TRANSITION UNCERTAIN",IF(OR($B104="",$C104=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI105	'=IF($A105="","",IF($AH105<>"","BLOCKED",IF($AG105<>"","FCS — NO PLAY",IF(CALC!$S105=1,"PENDING LINE",IF(CALC!$Q105=1,"STALE LINE",IF($AE105="QB UNCERTAIN","QB UNCERTAIN",IF($AF105<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B105="",$C105=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A105="","",IF($AH105<>"","BLOCKED",IF($AG105<>"","FCS — NO PLAY",IF(CALC!$S105=1,"PENDING LINE",IF(CALC!$Q105=1,"STALE LINE",IF($AE105="QB UNCERTAIN","QB UNCERTAIN",IF($AF105<>"","TRANSITION UNCERTAIN",IF(OR($B105="",$C105=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI106	'=IF($A106="","",IF($AH106<>"","BLOCKED",IF($AG106<>"","FCS — NO PLAY",IF(CALC!$S106=1,"PENDING LINE",IF(CALC!$Q106=1,"STALE LINE",IF($AE106="QB UNCERTAIN","QB UNCERTAIN",IF($AF106<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B106="",$C106=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A106="","",IF($AH106<>"","BLOCKED",IF($AG106<>"","FCS — NO PLAY",IF(CALC!$S106=1,"PENDING LINE",IF(CALC!$Q106=1,"STALE LINE",IF($AE106="QB UNCERTAIN","QB UNCERTAIN",IF($AF106<>"","TRANSITION UNCERTAIN",IF(OR($B106="",$C106=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI107	'=IF($A107="","",IF($AH107<>"","BLOCKED",IF($AG107<>"","FCS — NO PLAY",IF(CALC!$S107=1,"PENDING LINE",IF(CALC!$Q107=1,"STALE LINE",IF($AE107="QB UNCERTAIN","QB UNCERTAIN",IF($AF107<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B107="",$C107=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A107="","",IF($AH107<>"","BLOCKED",IF($AG107<>"","FCS — NO PLAY",IF(CALC!$S107=1,"PENDING LINE",IF(CALC!$Q107=1,"STALE LINE",IF($AE107="QB UNCERTAIN","QB UNCERTAIN",IF($AF107<>"","TRANSITION UNCERTAIN",IF(OR($B107="",$C107=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI108	'=IF($A108="","",IF($AH108<>"","BLOCKED",IF($AG108<>"","FCS — NO PLAY",IF(CALC!$S108=1,"PENDING LINE",IF(CALC!$Q108=1,"STALE LINE",IF($AE108="QB UNCERTAIN","QB UNCERTAIN",IF($AF108<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B108="",$C108=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A108="","",IF($AH108<>"","BLOCKED",IF($AG108<>"","FCS — NO PLAY",IF(CALC!$S108=1,"PENDING LINE",IF(CALC!$Q108=1,"STALE LINE",IF($AE108="QB UNCERTAIN","QB UNCERTAIN",IF($AF108<>"","TRANSITION UNCERTAIN",IF(OR($B108="",$C108=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI109	'=IF($A109="","",IF($AH109<>"","BLOCKED",IF($AG109<>"","FCS — NO PLAY",IF(CALC!$S109=1,"PENDING LINE",IF(CALC!$Q109=1,"STALE LINE",IF($AE109="QB UNCERTAIN","QB UNCERTAIN",IF($AF109<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B109="",$C109=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A109="","",IF($AH109<>"","BLOCKED",IF($AG109<>"","FCS — NO PLAY",IF(CALC!$S109=1,"PENDING LINE",IF(CALC!$Q109=1,"STALE LINE",IF($AE109="QB UNCERTAIN","QB UNCERTAIN",IF($AF109<>"","TRANSITION UNCERTAIN",IF(OR($B109="",$C109=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI110	'=IF($A110="","",IF($AH110<>"","BLOCKED",IF($AG110<>"","FCS — NO PLAY",IF(CALC!$S110=1,"PENDING LINE",IF(CALC!$Q110=1,"STALE LINE",IF($AE110="QB UNCERTAIN","QB UNCERTAIN",IF($AF110<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B110="",$C110=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A110="","",IF($AH110<>"","BLOCKED",IF($AG110<>"","FCS — NO PLAY",IF(CALC!$S110=1,"PENDING LINE",IF(CALC!$Q110=1,"STALE LINE",IF($AE110="QB UNCERTAIN","QB UNCERTAIN",IF($AF110<>"","TRANSITION UNCERTAIN",IF(OR($B110="",$C110=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI111	'=IF($A111="","",IF($AH111<>"","BLOCKED",IF($AG111<>"","FCS — NO PLAY",IF(CALC!$S111=1,"PENDING LINE",IF(CALC!$Q111=1,"STALE LINE",IF($AE111="QB UNCERTAIN","QB UNCERTAIN",IF($AF111<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B111="",$C111=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A111="","",IF($AH111<>"","BLOCKED",IF($AG111<>"","FCS — NO PLAY",IF(CALC!$S111=1,"PENDING LINE",IF(CALC!$Q111=1,"STALE LINE",IF($AE111="QB UNCERTAIN","QB UNCERTAIN",IF($AF111<>"","TRANSITION UNCERTAIN",IF(OR($B111="",$C111=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI112	'=IF($A112="","",IF($AH112<>"","BLOCKED",IF($AG112<>"","FCS — NO PLAY",IF(CALC!$S112=1,"PENDING LINE",IF(CALC!$Q112=1,"STALE LINE",IF($AE112="QB UNCERTAIN","QB UNCERTAIN",IF($AF112<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B112="",$C112=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A112="","",IF($AH112<>"","BLOCKED",IF($AG112<>"","FCS — NO PLAY",IF(CALC!$S112=1,"PENDING LINE",IF(CALC!$Q112=1,"STALE LINE",IF($AE112="QB UNCERTAIN","QB UNCERTAIN",IF($AF112<>"","TRANSITION UNCERTAIN",IF(OR($B112="",$C112=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI113	'=IF($A113="","",IF($AH113<>"","BLOCKED",IF($AG113<>"","FCS — NO PLAY",IF(CALC!$S113=1,"PENDING LINE",IF(CALC!$Q113=1,"STALE LINE",IF($AE113="QB UNCERTAIN","QB UNCERTAIN",IF($AF113<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B113="",$C113=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A113="","",IF($AH113<>"","BLOCKED",IF($AG113<>"","FCS — NO PLAY",IF(CALC!$S113=1,"PENDING LINE",IF(CALC!$Q113=1,"STALE LINE",IF($AE113="QB UNCERTAIN","QB UNCERTAIN",IF($AF113<>"","TRANSITION UNCERTAIN",IF(OR($B113="",$C113=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI114	'=IF($A114="","",IF($AH114<>"","BLOCKED",IF($AG114<>"","FCS — NO PLAY",IF(CALC!$S114=1,"PENDING LINE",IF(CALC!$Q114=1,"STALE LINE",IF($AE114="QB UNCERTAIN","QB UNCERTAIN",IF($AF114<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B114="",$C114=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A114="","",IF($AH114<>"","BLOCKED",IF($AG114<>"","FCS — NO PLAY",IF(CALC!$S114=1,"PENDING LINE",IF(CALC!$Q114=1,"STALE LINE",IF($AE114="QB UNCERTAIN","QB UNCERTAIN",IF($AF114<>"","TRANSITION UNCERTAIN",IF(OR($B114="",$C114=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI115	'=IF($A115="","",IF($AH115<>"","BLOCKED",IF($AG115<>"","FCS — NO PLAY",IF(CALC!$S115=1,"PENDING LINE",IF(CALC!$Q115=1,"STALE LINE",IF($AE115="QB UNCERTAIN","QB UNCERTAIN",IF($AF115<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B115="",$C115=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A115="","",IF($AH115<>"","BLOCKED",IF($AG115<>"","FCS — NO PLAY",IF(CALC!$S115=1,"PENDING LINE",IF(CALC!$Q115=1,"STALE LINE",IF($AE115="QB UNCERTAIN","QB UNCERTAIN",IF($AF115<>"","TRANSITION UNCERTAIN",IF(OR($B115="",$C115=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI116	'=IF($A116="","",IF($AH116<>"","BLOCKED",IF($AG116<>"","FCS — NO PLAY",IF(CALC!$S116=1,"PENDING LINE",IF(CALC!$Q116=1,"STALE LINE",IF($AE116="QB UNCERTAIN","QB UNCERTAIN",IF($AF116<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B116="",$C116=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A116="","",IF($AH116<>"","BLOCKED",IF($AG116<>"","FCS — NO PLAY",IF(CALC!$S116=1,"PENDING LINE",IF(CALC!$Q116=1,"STALE LINE",IF($AE116="QB UNCERTAIN","QB UNCERTAIN",IF($AF116<>"","TRANSITION UNCERTAIN",IF(OR($B116="",$C116=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI117	'=IF($A117="","",IF($AH117<>"","BLOCKED",IF($AG117<>"","FCS — NO PLAY",IF(CALC!$S117=1,"PENDING LINE",IF(CALC!$Q117=1,"STALE LINE",IF($AE117="QB UNCERTAIN","QB UNCERTAIN",IF($AF117<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B117="",$C117=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A117="","",IF($AH117<>"","BLOCKED",IF($AG117<>"","FCS — NO PLAY",IF(CALC!$S117=1,"PENDING LINE",IF(CALC!$Q117=1,"STALE LINE",IF($AE117="QB UNCERTAIN","QB UNCERTAIN",IF($AF117<>"","TRANSITION UNCERTAIN",IF(OR($B117="",$C117=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI118	'=IF($A118="","",IF($AH118<>"","BLOCKED",IF($AG118<>"","FCS — NO PLAY",IF(CALC!$S118=1,"PENDING LINE",IF(CALC!$Q118=1,"STALE LINE",IF($AE118="QB UNCERTAIN","QB UNCERTAIN",IF($AF118<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B118="",$C118=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A118="","",IF($AH118<>"","BLOCKED",IF($AG118<>"","FCS — NO PLAY",IF(CALC!$S118=1,"PENDING LINE",IF(CALC!$Q118=1,"STALE LINE",IF($AE118="QB UNCERTAIN","QB UNCERTAIN",IF($AF118<>"","TRANSITION UNCERTAIN",IF(OR($B118="",$C118=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI119	'=IF($A119="","",IF($AH119<>"","BLOCKED",IF($AG119<>"","FCS — NO PLAY",IF(CALC!$S119=1,"PENDING LINE",IF(CALC!$Q119=1,"STALE LINE",IF($AE119="QB UNCERTAIN","QB UNCERTAIN",IF($AF119<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B119="",$C119=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A119="","",IF($AH119<>"","BLOCKED",IF($AG119<>"","FCS — NO PLAY",IF(CALC!$S119=1,"PENDING LINE",IF(CALC!$Q119=1,"STALE LINE",IF($AE119="QB UNCERTAIN","QB UNCERTAIN",IF($AF119<>"","TRANSITION UNCERTAIN",IF(OR($B119="",$C119=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI120	'=IF($A120="","",IF($AH120<>"","BLOCKED",IF($AG120<>"","FCS — NO PLAY",IF(CALC!$S120=1,"PENDING LINE",IF(CALC!$Q120=1,"STALE LINE",IF($AE120="QB UNCERTAIN","QB UNCERTAIN",IF($AF120<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B120="",$C120=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A120="","",IF($AH120<>"","BLOCKED",IF($AG120<>"","FCS — NO PLAY",IF(CALC!$S120=1,"PENDING LINE",IF(CALC!$Q120=1,"STALE LINE",IF($AE120="QB UNCERTAIN","QB UNCERTAIN",IF($AF120<>"","TRANSITION UNCERTAIN",IF(OR($B120="",$C120=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI121	'=IF($A121="","",IF($AH121<>"","BLOCKED",IF($AG121<>"","FCS — NO PLAY",IF(CALC!$S121=1,"PENDING LINE",IF(CALC!$Q121=1,"STALE LINE",IF($AE121="QB UNCERTAIN","QB UNCERTAIN",IF($AF121<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B121="",$C121=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A121="","",IF($AH121<>"","BLOCKED",IF($AG121<>"","FCS — NO PLAY",IF(CALC!$S121=1,"PENDING LINE",IF(CALC!$Q121=1,"STALE LINE",IF($AE121="QB UNCERTAIN","QB UNCERTAIN",IF($AF121<>"","TRANSITION UNCERTAIN",IF(OR($B121="",$C121=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI122	'=IF($A122="","",IF($AH122<>"","BLOCKED",IF($AG122<>"","FCS — NO PLAY",IF(CALC!$S122=1,"PENDING LINE",IF(CALC!$Q122=1,"STALE LINE",IF($AE122="QB UNCERTAIN","QB UNCERTAIN",IF($AF122<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B122="",$C122=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A122="","",IF($AH122<>"","BLOCKED",IF($AG122<>"","FCS — NO PLAY",IF(CALC!$S122=1,"PENDING LINE",IF(CALC!$Q122=1,"STALE LINE",IF($AE122="QB UNCERTAIN","QB UNCERTAIN",IF($AF122<>"","TRANSITION UNCERTAIN",IF(OR($B122="",$C122=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI123	'=IF($A123="","",IF($AH123<>"","BLOCKED",IF($AG123<>"","FCS — NO PLAY",IF(CALC!$S123=1,"PENDING LINE",IF(CALC!$Q123=1,"STALE LINE",IF($AE123="QB UNCERTAIN","QB UNCERTAIN",IF($AF123<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B123="",$C123=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A123="","",IF($AH123<>"","BLOCKED",IF($AG123<>"","FCS — NO PLAY",IF(CALC!$S123=1,"PENDING LINE",IF(CALC!$Q123=1,"STALE LINE",IF($AE123="QB UNCERTAIN","QB UNCERTAIN",IF($AF123<>"","TRANSITION UNCERTAIN",IF(OR($B123="",$C123=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI124	'=IF($A124="","",IF($AH124<>"","BLOCKED",IF($AG124<>"","FCS — NO PLAY",IF(CALC!$S124=1,"PENDING LINE",IF(CALC!$Q124=1,"STALE LINE",IF($AE124="QB UNCERTAIN","QB UNCERTAIN",IF($AF124<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B124="",$C124=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A124="","",IF($AH124<>"","BLOCKED",IF($AG124<>"","FCS — NO PLAY",IF(CALC!$S124=1,"PENDING LINE",IF(CALC!$Q124=1,"STALE LINE",IF($AE124="QB UNCERTAIN","QB UNCERTAIN",IF($AF124<>"","TRANSITION UNCERTAIN",IF(OR($B124="",$C124=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI125	'=IF($A125="","",IF($AH125<>"","BLOCKED",IF($AG125<>"","FCS — NO PLAY",IF(CALC!$S125=1,"PENDING LINE",IF(CALC!$Q125=1,"STALE LINE",IF($AE125="QB UNCERTAIN","QB UNCERTAIN",IF($AF125<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B125="",$C125=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A125="","",IF($AH125<>"","BLOCKED",IF($AG125<>"","FCS — NO PLAY",IF(CALC!$S125=1,"PENDING LINE",IF(CALC!$Q125=1,"STALE LINE",IF($AE125="QB UNCERTAIN","QB UNCERTAIN",IF($AF125<>"","TRANSITION UNCERTAIN",IF(OR($B125="",$C125=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI126	'=IF($A126="","",IF($AH126<>"","BLOCKED",IF($AG126<>"","FCS — NO PLAY",IF(CALC!$S126=1,"PENDING LINE",IF(CALC!$Q126=1,"STALE LINE",IF($AE126="QB UNCERTAIN","QB UNCERTAIN",IF($AF126<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B126="",$C126=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A126="","",IF($AH126<>"","BLOCKED",IF($AG126<>"","FCS — NO PLAY",IF(CALC!$S126=1,"PENDING LINE",IF(CALC!$Q126=1,"STALE LINE",IF($AE126="QB UNCERTAIN","QB UNCERTAIN",IF($AF126<>"","TRANSITION UNCERTAIN",IF(OR($B126="",$C126=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI127	'=IF($A127="","",IF($AH127<>"","BLOCKED",IF($AG127<>"","FCS — NO PLAY",IF(CALC!$S127=1,"PENDING LINE",IF(CALC!$Q127=1,"STALE LINE",IF($AE127="QB UNCERTAIN","QB UNCERTAIN",IF($AF127<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B127="",$C127=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A127="","",IF($AH127<>"","BLOCKED",IF($AG127<>"","FCS — NO PLAY",IF(CALC!$S127=1,"PENDING LINE",IF(CALC!$Q127=1,"STALE LINE",IF($AE127="QB UNCERTAIN","QB UNCERTAIN",IF($AF127<>"","TRANSITION UNCERTAIN",IF(OR($B127="",$C127=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI128	'=IF($A128="","",IF($AH128<>"","BLOCKED",IF($AG128<>"","FCS — NO PLAY",IF(CALC!$S128=1,"PENDING LINE",IF(CALC!$Q128=1,"STALE LINE",IF($AE128="QB UNCERTAIN","QB UNCERTAIN",IF($AF128<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B128="",$C128=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A128="","",IF($AH128<>"","BLOCKED",IF($AG128<>"","FCS — NO PLAY",IF(CALC!$S128=1,"PENDING LINE",IF(CALC!$Q128=1,"STALE LINE",IF($AE128="QB UNCERTAIN","QB UNCERTAIN",IF($AF128<>"","TRANSITION UNCERTAIN",IF(OR($B128="",$C128=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI129	'=IF($A129="","",IF($AH129<>"","BLOCKED",IF($AG129<>"","FCS — NO PLAY",IF(CALC!$S129=1,"PENDING LINE",IF(CALC!$Q129=1,"STALE LINE",IF($AE129="QB UNCERTAIN","QB UNCERTAIN",IF($AF129<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B129="",$C129=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A129="","",IF($AH129<>"","BLOCKED",IF($AG129<>"","FCS — NO PLAY",IF(CALC!$S129=1,"PENDING LINE",IF(CALC!$Q129=1,"STALE LINE",IF($AE129="QB UNCERTAIN","QB UNCERTAIN",IF($AF129<>"","TRANSITION UNCERTAIN",IF(OR($B129="",$C129=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI130	'=IF($A130="","",IF($AH130<>"","BLOCKED",IF($AG130<>"","FCS — NO PLAY",IF(CALC!$S130=1,"PENDING LINE",IF(CALC!$Q130=1,"STALE LINE",IF($AE130="QB UNCERTAIN","QB UNCERTAIN",IF($AF130<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B130="",$C130=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A130="","",IF($AH130<>"","BLOCKED",IF($AG130<>"","FCS — NO PLAY",IF(CALC!$S130=1,"PENDING LINE",IF(CALC!$Q130=1,"STALE LINE",IF($AE130="QB UNCERTAIN","QB UNCERTAIN",IF($AF130<>"","TRANSITION UNCERTAIN",IF(OR($B130="",$C130=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI131	'=IF($A131="","",IF($AH131<>"","BLOCKED",IF($AG131<>"","FCS — NO PLAY",IF(CALC!$S131=1,"PENDING LINE",IF(CALC!$Q131=1,"STALE LINE",IF($AE131="QB UNCERTAIN","QB UNCERTAIN",IF($AF131<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B131="",$C131=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A131="","",IF($AH131<>"","BLOCKED",IF($AG131<>"","FCS — NO PLAY",IF(CALC!$S131=1,"PENDING LINE",IF(CALC!$Q131=1,"STALE LINE",IF($AE131="QB UNCERTAIN","QB UNCERTAIN",IF($AF131<>"","TRANSITION UNCERTAIN",IF(OR($B131="",$C131=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI132	'=IF($A132="","",IF($AH132<>"","BLOCKED",IF($AG132<>"","FCS — NO PLAY",IF(CALC!$S132=1,"PENDING LINE",IF(CALC!$Q132=1,"STALE LINE",IF($AE132="QB UNCERTAIN","QB UNCERTAIN",IF($AF132<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B132="",$C132=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A132="","",IF($AH132<>"","BLOCKED",IF($AG132<>"","FCS — NO PLAY",IF(CALC!$S132=1,"PENDING LINE",IF(CALC!$Q132=1,"STALE LINE",IF($AE132="QB UNCERTAIN","QB UNCERTAIN",IF($AF132<>"","TRANSITION UNCERTAIN",IF(OR($B132="",$C132=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI133	'=IF($A133="","",IF($AH133<>"","BLOCKED",IF($AG133<>"","FCS — NO PLAY",IF(CALC!$S133=1,"PENDING LINE",IF(CALC!$Q133=1,"STALE LINE",IF($AE133="QB UNCERTAIN","QB UNCERTAIN",IF($AF133<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B133="",$C133=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A133="","",IF($AH133<>"","BLOCKED",IF($AG133<>"","FCS — NO PLAY",IF(CALC!$S133=1,"PENDING LINE",IF(CALC!$Q133=1,"STALE LINE",IF($AE133="QB UNCERTAIN","QB UNCERTAIN",IF($AF133<>"","TRANSITION UNCERTAIN",IF(OR($B133="",$C133=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI134	'=IF($A134="","",IF($AH134<>"","BLOCKED",IF($AG134<>"","FCS — NO PLAY",IF(CALC!$S134=1,"PENDING LINE",IF(CALC!$Q134=1,"STALE LINE",IF($AE134="QB UNCERTAIN","QB UNCERTAIN",IF($AF134<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B134="",$C134=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A134="","",IF($AH134<>"","BLOCKED",IF($AG134<>"","FCS — NO PLAY",IF(CALC!$S134=1,"PENDING LINE",IF(CALC!$Q134=1,"STALE LINE",IF($AE134="QB UNCERTAIN","QB UNCERTAIN",IF($AF134<>"","TRANSITION UNCERTAIN",IF(OR($B134="",$C134=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI135	'=IF($A135="","",IF($AH135<>"","BLOCKED",IF($AG135<>"","FCS — NO PLAY",IF(CALC!$S135=1,"PENDING LINE",IF(CALC!$Q135=1,"STALE LINE",IF($AE135="QB UNCERTAIN","QB UNCERTAIN",IF($AF135<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B135="",$C135=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A135="","",IF($AH135<>"","BLOCKED",IF($AG135<>"","FCS — NO PLAY",IF(CALC!$S135=1,"PENDING LINE",IF(CALC!$Q135=1,"STALE LINE",IF($AE135="QB UNCERTAIN","QB UNCERTAIN",IF($AF135<>"","TRANSITION UNCERTAIN",IF(OR($B135="",$C135=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI136	'=IF($A136="","",IF($AH136<>"","BLOCKED",IF($AG136<>"","FCS — NO PLAY",IF(CALC!$S136=1,"PENDING LINE",IF(CALC!$Q136=1,"STALE LINE",IF($AE136="QB UNCERTAIN","QB UNCERTAIN",IF($AF136<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B136="",$C136=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A136="","",IF($AH136<>"","BLOCKED",IF($AG136<>"","FCS — NO PLAY",IF(CALC!$S136=1,"PENDING LINE",IF(CALC!$Q136=1,"STALE LINE",IF($AE136="QB UNCERTAIN","QB UNCERTAIN",IF($AF136<>"","TRANSITION UNCERTAIN",IF(OR($B136="",$C136=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI137	'=IF($A137="","",IF($AH137<>"","BLOCKED",IF($AG137<>"","FCS — NO PLAY",IF(CALC!$S137=1,"PENDING LINE",IF(CALC!$Q137=1,"STALE LINE",IF($AE137="QB UNCERTAIN","QB UNCERTAIN",IF($AF137<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B137="",$C137=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A137="","",IF($AH137<>"","BLOCKED",IF($AG137<>"","FCS — NO PLAY",IF(CALC!$S137=1,"PENDING LINE",IF(CALC!$Q137=1,"STALE LINE",IF($AE137="QB UNCERTAIN","QB UNCERTAIN",IF($AF137<>"","TRANSITION UNCERTAIN",IF(OR($B137="",$C137=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI138	'=IF($A138="","",IF($AH138<>"","BLOCKED",IF($AG138<>"","FCS — NO PLAY",IF(CALC!$S138=1,"PENDING LINE",IF(CALC!$Q138=1,"STALE LINE",IF($AE138="QB UNCERTAIN","QB UNCERTAIN",IF($AF138<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B138="",$C138=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A138="","",IF($AH138<>"","BLOCKED",IF($AG138<>"","FCS — NO PLAY",IF(CALC!$S138=1,"PENDING LINE",IF(CALC!$Q138=1,"STALE LINE",IF($AE138="QB UNCERTAIN","QB UNCERTAIN",IF($AF138<>"","TRANSITION UNCERTAIN",IF(OR($B138="",$C138=""),"DATA INCOMPLETE","READY"))))))))'
