row,abbrev,team,baseline_qb,baseline_value,active_qb,active_value,confidence,source,reviewed_for_season,last_update,note,verification_status
65,UNC,North Carolina,Billy Edwards Jr.,,Open (Billy Edwards Jr. / Miles O'Neill / Au'Tori Newkirk / Travis Burgess),,L,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-08-04,"DEFECT CORRECTED 7D.5 2026-08-04: prior entry asserted the Wisconsin transfer as North Carolina's 'projected transfer QB1' (M). Current team-specific coverage contradicts it - headline 2026-07-18: 'UNC QUARTERBACK BATTLE REMAINS WIDE OPEN as Tar Heels head into fall camp.' NO starter named. HC Bill Belichick left the competition open: 'This year our quarterbacks after spring ball are still here, are out in player-run practices,' and described the room as 'significantly deeper and more stable' than 2025 - depth, not a decision. FOUR candidates: Billy Edwards Jr. (most experienced), Miles O'Neill (Texas A&M transfer, 'cannon of an arm'), Au'Tori Newkirk, and Travis Burgess (senior, recovering from injury). No leader identified -> M downgraded to L. NUMERICAL CELLS WERE ALREADY BLANK - this record was never zero-initialized (one of seven M-coded rows carrying blank inputs), so no consistency repair was required and the status was ALREADY UNCERTAIN; the L code now makes that gate explicit rather than incidental. RECHECK: UNC depth chart or a Belichick naming.",VERIFIED 7D.5
66,PITT,Pittsburgh,Mason Heintschel,0,Mason Heintschel,0,H,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-07-21,"backup promotion | 2025: 2025: 63.6% comp, 2,354 yds, 16 TD, 8 INT | incumbent starter (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
67,SMU,SMU,Kevin Jennings,0,Kevin Jennings,0,H,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-07-21,"returning starter | 2025: 2025: 66.1% comp, 3,641 yds, 26 TD, 13 INT | established returning starter (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
68,STAN,Stanford,,,Davis Warren,,L,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-08-04,"VERIFIED 7D.5 2026-08-04: quarterback remains one of Stanford's named key fall-camp position battles. Davis Warren (Michigan grad transfer with starting experience) is described as being in a strong position, with true freshman early enrollee Michael Mitchell Jr. able to compete. NO staff naming located, and 'strong position' is a projection rather than a decision -> L retained under the 7D.5 rule; values blank; UNCERTAIN. RECHECK: Stanford depth chart.",VERIFIED 7D.5
69,SYR,Syracuse,,,Steve Angeli,,L,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-08-04,"VERIFIED 7D.5 2026-08-04: Steve Angeli (Notre Dame transfer) says he is 'FULL GO' with 'no restrictions' ahead of training camp after the 2025 ACHILLES injury that ended his season - but the same reporting frames it as 'ANOTHER QB BATTLE', and Syracuse overhauled the room in the offseason (incl. Kennesaw State transfer Amari Odom). A quarterback returning from an Achilles tear into an acknowledged battle is not a settled job -> L retained; values blank; UNCERTAIN. RECHECK: Syracuse depth chart or a Fran Brown naming.",VERIFIED 7D.5
70,UVA,Virginia,Beau Pribula,0,Beau Pribula,0,M,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-08-03,VERIFIED 2026-08-03: Beau Pribula confirmed to 'get the nod' at Virginia per PFF ACC QB projections (76.1 PFF grade). M retained pending official announcement.,VERIFIED 7D.3
71,VT,Virginia Tech,Ethan Grunkemeyer,0,Ethan Grunkemeyer,0,H,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-07-21,"transfer | prev: Penn State | 2025: PSU 2025: 69.1% comp, 1,339 yds, 8 TD, 4 INT; final 4 games 4-0, 73.8%, 6 TD 0 INT | projected transfer QB1 (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
72,WAKE,Wake Forest,Gio Lopez,0,Gio Lopez,0,M,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-08-03,"VERIFIED 2026-08-03: Gio Lopez confirmed transferring to Wake Forest after 11 starts at North Carolina (73.1 PFF grade, 74.1% adjusted completion). Transfer expected to start; M retained.",VERIFIED 7D.3
73,BSU,Boise State,Maddux Madsen,0,Maddux Madsen,0,H,Athlon/ESPN/CBS Pac-12 2026 previews (https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more),2026,2026-07-21,returning starter | 2025: Boise State 2025 starter | established returning starter | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
74,CSU,Colorado State,,,Hauss Hejny (K'saan Farrar competing),,L,Athlon/ESPN/CBS Pac-12 2026 previews (https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more),2026,2026-08-03,"VERIFIED 2026-08-03: Hauss Hejny is Colorado State's projected starter but is LOCKED IN A BATTLE with UConn transfer K'saan Farrar that is expected to LAST INTO FALL CAMP. Genuine unresolved competition -> L retained; entry refined. (Context: CSU's 2026 HC is Jim Mora, who left UConn - see the 7D.3A UConn finding.)",VERIFIED 7D.4
75,FRES,Fresno State,,,Open (three-way battle into August),,L,Athlon/ESPN/CBS Pac-12 2026 previews (https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more),2026,2026-08-03,"VERIFIED 2026-08-03: Fresno State has a THREE-WAY quarterback battle 'likely to run deep into August' involving a Western Michigan transfer and Mercer transfer Braden Atkinson (2025 Jerry Rice Award winner, FCS freshman of the year). Prior single-name entry could not be corroborated. L retained; entry generalized; values blank; UNCERTAIN.",VERIFIED 7D.4
76,ORST,Oregon State,,,Maalik Murphy (leader; Braden Atkinson pushing),,M,Athlon/ESPN/CBS Pac-12 2026 previews (https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more),2026,2026-08-03,"VERIFIED 2026-08-03 (with documented tension): SI headline reports ex-Texas QB Maalik Murphy NAMED STARTER at Oregon State, while SI's Pac-12 QB tiers describe Murphy with 'a slight upper hand' and a young FCS transfer 'right on his tail in fall camp.' Both agree Murphy LEADS. Clear leader -> L upgraded to M (NOT H, because the naming claim is contradicted by active-competition language). Per the L->M rule values REMAIN BLANK; status stays UNCERTAIN. RECHECK: official Oregon State depth chart.",VERIFIED 7D.4
77,SDSU,San Diego State,Jayden Denegal,0,Jayden Denegal,0,H,Athlon/ESPN/CBS Pac-12 2026 previews (https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more),2026,2026-07-21,returning starter | 2025: SDSU 2025 starter | returning starter | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
78,TXST,Texas State,Brad Jackson,0,Brad Jackson (returning starter),0,M,CBS Sports Pac-12 relaunch / Athlon (https://www.cbssports.com/college-football/news/pac-12-relaunch-2026-contenders-teams-to-watch/),2026,2026-08-04,"VERIFIED 7D.4A, RE-VERIFIED 7D.5 2026-08-04 against official/primary sources. Brad Jackson is Texas State's returning starter: 2025 - 3,050 pass yds, 18 TD, 7 INT, 71.5% comp; 16-17 rush TD (school single-season record for a QB); 3,968 total yds, 7th nationally; third-team all-conference; and MVP OF THE 2026 ARMED FORCES BOWL (173 yds, 3 pass TD plus a rushing score in a 41-10 win over Rice). Announced his return 2025-12-06; coverage states Texas State 'returns a starting quarterback for the first time under Kinne'; The Athletic ranked him the top Group of Five quarterback. NEW IN 7D.5: Boston College transfer SHAKER REISIG arrived and is reported as the PRIMARY BACKUP to Jackson, not a challenger (3 games at BC in 2025: 141 yds, 1 TD, 2 INT); QBs Keldric Luster (Ball State) and Holden Geriner (Pittsburgh) transferred out. No competition reported. H considered and declined - no official 2026 naming. -> M retained; zeros retained; status OK. RECHECK: official Texas State depth chart.",VERIFIED 7D.4A
79,USU,Utah State,McCae Hillstead,0,McCae Hillstead,0,M,Athlon/ESPN/CBS Pac-12 2026 previews (https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more),2026,2026-08-03,VERIFIED 2026-08-03: Utah State reunites former Virginia OC Robert Anae with RETURNING quarterback McCae Hillstead. Returning starter with a new coordinator -> M retained; no formal naming located.,VERIFIED 7D.4
80,WSU,Washington State,Caden Pinnick,,Open (Caden Pinnick / Owen Eshelman / Julian Dugger),,L,Athlon/ESPN Pac-12 (https://athlonsports.com/college-football/pac-12-football-2026-predictions),2026,2026-08-04,"DEFECT CORRECTED 7D.4A, RE-VERIFIED 7D.5 2026-08-04: prior entry asserted Caden Pinnick as projected QB1 (M). HeraldNet 2026-07-30: WSU 'set to open fall camp with WIDE-OPEN QB competition'; The Columbian 2026-08-01: quarterback situation 'UNRESOLVED'; first-year HC Kirby Moore declined to commit - 'That's gonna continue through the summer'; the Spokesman-Review beat reports Pinnick 'WASN'T ABLE TO CREATE MEANINGFUL SEPARATION FROM ESHELMAN' in spring, and staff may keep the decision in-house until kickoff. CORROBORATED IN 7D.5 by the official transfer ledger: Pinnick IN from UC Davis; Jaxon Potter OUT to Old Dominion and Ajani Sheppard OUT to Temple (both appear as competitors in those teams' records); new OC Matt Miller. Three-way with Owen Eshelman and Julian Dugger, no leader -> L; zeros CLEARED to blank; UNCERTAIN. Camp opened 2026-08-06.",VERIFIED 7D.4A
81,ARMY,Army,Cale Hellums,0,Cale Hellums,0,H,Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html),2026,2026-07-21,returning starter | 2025: Started 10 games 2025 (option offense); won Fenway Bowl | returning starter | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
82,CLT,Charlotte,Grayson Loftis,0,Grayson Loftis,0,H,Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html),2026,2026-07-21,"returning starter | 2025: 2025: 1,415 yds, 8 TD, 8 INT (ex-Duke) | returning starter | VALUE PENDING RUBRIC APPROVAL",verified 7A-7D
83,ECU,East Carolina,Chaston Ditta,0,Chaston Ditta,0,M,Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html),2026,2026-08-03,VERIFIED 2026-08-03: Chaston Ditta likely takes the reins for East Carolina after starting the 2025 Military Bowl. Projected starter awaiting formal announcement -> M retained.,VERIFIED 7D.4
84,FAU,Florida Atlantic,Caden Veltkamp,0,Caden Veltkamp (returning starter),0,M,Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html),2026,2026-08-04,"VERIFIED 7D.5 2026-08-04: Caden Veltkamp CONFIRMED returning as FAU's starter for a second straight year in Zach Kittley's air raid - 2025: 3,641 pass yds (8th in FBS), 24 TD, 67.0% comp; 2024 CUSA Offensive Player of the Year at Western Kentucky. Coverage states FAU enters 2026 'with zero questions about their starter.' HC Kittley described a '5-man battle' at the position, but that concerns the BACKUP order behind Veltkamp - Drew Devillier (Rice transfer), Jordan Magwood, Michael Valentino and Jeremiah Daoud. Established returning starter, no formal 2026 naming -> M retained (not H), consistent with the Texas State / WMU / Toledo precedent. Zeros retained; status OK.",VERIFIED 7D.5
85,MEM,Memphis,,,Marcus Stokes,,L,Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html),2026,2026-08-04,VERIFIED 7D.5 2026-08-04: Memphis's quarterback battle is 'CLOSE and will likely be one of the LATER ONES SETTLED in the American.' FIRST-YEAR HC CHARLES HUFF must choose between two transfers with contrasting backgrounds - Marcus Stokes and Air Noland. No starter named -> L retained; values blank; UNCERTAIN. Entry corroborated.,VERIFIED 7D.5
86,NAVY,Navy,Braxton Woodson,0,Braxton Woodson,0,M,Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html),2026,2026-08-03,VERIFIED 2026-08-03: Braxton Woodson confirmed as Navy's projected starter in current American QB coverage. M retained; no official naming located.,VERIFIED 7D.4
87,UNT,North Texas,Tayven Jackson,0,Tayven Jackson (slight lead; Ditta / Jimerson competing),0,M,Wikipedia/247/ESPN roster (Tayven Jackson to UNT) (https://en.wikipedia.org/wiki/Tayven_Jackson),2026,2026-08-04,"VERIFIED 7D.4A, RE-VERIFIED 7D.5 2026-08-04: entry CONFIRMED NOT STALE. HC NEAL BROWN said on the American Kickoff broadcast (2026-07-29) that senior UCF transfer Tayven Jackson 'NOW HAS A SLIGHT LEAD' in an ongoing THREE-MAN race over East Carolina transfer Chaston Ditta and returner Chris Jimerson Jr.; Brown did NOT declare a starter. Jackson's 2025 at UCF: 2,151 pass yds, 10 TD, 8 INT. COACHING CHANGE VERIFIED: Eric Morris left for Oklahoma State; Neal Brown rebuilt the roster with 75-90+ new players. CONTEXT ADDED IN 7D.5: North Texas must replace Drew Mestemaker, who LED THE NATION IN PASSING YARDS in 2025 - the race is a genuine full replacement, not a succession. Clear leader stated by the head coach, no naming -> M retained; zeros retained; status OK.",VERIFIED 7D.4A
88,RICE,Rice,Jacurri Brown,0,Jacurri Brown,0,M,Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html),2026,2026-08-03,VERIFIED 2026-08-03: Jacurri Brown confirmed as Rice's quarterback in current American QB coverage. M retained; no official naming located.,VERIFIED 7D.4
89,USF,South Florida,,,OPEN (Kromenhoek / Van Buren Jr. / Cooper),,L,Yahoo (USF lands portal QB) / Green Gold & Bold (https://sports.yahoo.com/articles/usf-lands-quarterback-transfer-portal-132621762.html),2026,2026-08-04,"VERIFIED 7D.5 2026-08-04: USF's competition is between LSU transfer MICHAEL VAN BUREN JR. and Mississippi State transfer LUKE KROMENHOEK, both named in the entry. Van Buren 'seems to have the edge' on slightly more game experience, but that is a preseason projection, not a staff decision, and no naming was located -> L retained under the 7D.5 rule; values blank; UNCERTAIN. USF training camp opened 2026-08-05. RECHECK: USF depth chart.",VERIFIED 7D.5
90,TEM,Temple,Jaxon Smolik,0,Jaxon Smolik (inside track; Ajani Sheppard competing),0,M,Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html),2026,2026-08-03,"VERIFIED 2026-08-03: Temple's spring battle was between transfers Jaxon Smolik (Penn State) and Ajani Sheppard (Washington State), with SMOLIK OWNING THE INSIDE TRACK. Clear leader with competition -> M retained; entry refined.",VERIFIED 7D.4
91,TULN,Tulane,,,Kadin Semonza,,L,Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html),2026,2026-08-04,"VERIFIED 7D.5 2026-08-04: 'The competition CONTINUES as the Green Wave enter fall practice.' Kadin Semonza (Ball State transfer; a big 2024 at Ball State, did NOT play in 2025) 'will likely be the main man - but he HAS TO HOLD OFF' Houston transfer Zeon Chriss-Gremillion, sophomore Dagan Bruno and freshman Trace Johnson. A leader who must hold off three challengers with no naming -> L retained; values blank; UNCERTAIN. Entry corroborated.",VERIFIED 7D.5
92,TLSA,Tulsa,Baylor Hayes,0,Baylor Hayes,0,M,Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html),2026,2026-08-03,VERIFIED 2026-08-03: Baylor Hayes confirmed as Tulsa's quarterback in current American QB coverage. M retained; no official naming located.,VERIFIED 7D.4
93,UAB,UAB,Ryder Burton,0,Ryder Burton,0,H,Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html),2026,2026-07-21,returning starter | 2025: Quality mid-2025 reps; beat ranked Memphis | returning starter | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
94,UTSA,UTSA,Owen McCown,0,Owen McCown,0,H,Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html),2026,2026-07-21,returning starter | 2025: Multi-year starter; 3 program bowl wins | established returning starter | VALUE PENDING RUBRIC APPROVAL,verified 7A-7D
95,DEL,Delaware,Nick Minicucci,0,Nick Minicucci,0,H,Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football),2026,2026-07-21,returning starter | 2025: Returning conference-level starter | returning starter | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
96,FIU,FIU,JJ Kohl,0,JJ Kohl,0,M,Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football),2026,2026-08-03,VERIFIED 2026-08-03: JJ Kohl (Appalachian State transfer) confirmed as FIU's new starting quarterback in current CUSA QB coverage. Transfer expected to start -> M retained; no official naming located.,VERIFIED 7D.4
97,JVST,Jacksonville State,Caden Creel,0,Caden Creel,0,H,Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football),2026,2026-07-21,returning starter | 2025: Returning conference star | returning starter | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
98,KENN,Kennesaw State,Rickie Collins,0,Rickie Collins (leader; Landon Varnes competing),0,M,Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football),2026,2026-08-03,"VERIFIED 2026-08-03: Rickie Collins (Syracuse transfer) is Kennesaw State's new QB, but must HOLD OFF juco transfer Landon Varnes in fall practice. Clear leader with real competition -> M retained (not H); entry refined to name the competitor.",VERIFIED 7D.4
99,LIB,Liberty,,,Open (Purdie / Jaylen Henderson / Ethan Vasko),,L,Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football),2026,2026-08-03,VERIFIED 2026-08-03: genuine three-way transfer competition (Purdie / Jaylen Henderson / Ethan Vasko); Chadwell expected to get quality play but no starter named. Record accurate; L retained.,VERIFIED 7D.2
100,MTSU,Middle Tennessee,Roman Gagliano,0,Roman Gagliano,0,M,Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football),2026,2026-08-03,"VERIFIED 2026-08-03: Roman Gagliano confirmed as MTSU's signal-caller, cited as a breakout candidate. Record accurate; M retained.",VERIFIED 7D.2
101,MOST,Missouri State,,,Open competition (new HC Casey Woods),,L,Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football),2026,2026-08-03,VERIFIED 2026-08-03: Missouri State welcomes new head coach Casey Woods and has a quarterback battle; NO starting quarterback has been definitively named. Genuine open competition -> L retained; values blank; UNCERTAIN.,VERIFIED 7D.4
102,NMSU,New Mexico State,,,Open competition,,L,Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football),2026,2026-08-03,VERIFIED 2026-08-03: New Mexico State remains in a rebuild with a likely quarterback competition; NO starter named. L retained; values blank; UNCERTAIN.,VERIFIED 7D.4
103,SHSU,Sam Houston,Landyn Locke,0,Landyn Locke,0,M,Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football),2026,2026-08-03,"VERIFIED 2026-08-03: Landyn Locke confirmed as Sam Houston's signal-caller, cited as a breakout candidate. Record accurate; M retained.",VERIFIED 7D.2
104,WKU,Western Kentucky,Rodney Tisdale Jr.,0,Rodney Tisdale Jr.,0,M,Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football),2026,2026-08-03,"VERIFIED 2026-08-03: Rodney Tisdale Jr. confirmed as returning starter, BUT Brock Glenn (7 career starts at Florida State) transferred in to challenge. Clear leader with real competition -> M retained (not H).",VERIFIED 7D.2
105,AKR,Akron,Ben Finley,,Open (Reese Poffenbarger / Brayden Roggow),,L,ESPN/247 Ben Finley (Akron) (https://www.espn.com/college-football/player/_/id/4431091/ben-finley),2026,2026-08-03,"CORRECTION 2026-08-03 (7D.1): prior entry listed Ben Finley, who GRADUATED after a two-year Akron starting run - stale record. Poffenbarger (North Texas transfer) entered spring as projected starter but Akron has no clear QB1; open fall-camp competition. METHODOLOGY REPAIR 2026-08-03 (7D.2): Baseline/Active values CLEARED to blank. Zero would assert an affirmative evaluation of both starter and replacement; blank correctly represents an unresolved numerical assessment. Status remains UNCERTAIN.",VERIFIED 7D.1
106,BALL,Ball State,,,Keldric Luster,,L,College Football News / Hustle Belt (https://collegefootballnews.com/college-football/ball-state-football-preview-2026),2026,2026-08-04,"VERIFIED 7D.1 (2026-08-03), STAMPED 7D.5 2026-08-04: Ball State's room is unsettled - Keldric Luster (Texas State transfer, dual-threat) and Tyler Mizzell both may see action; no starter named. Corroborated this phase: Texas State's outgoing-transfer ledger confirms Luster left for Ball State. -> L retained; values blank; UNCERTAIN. EVIDENCE NOTE: the 7D.1 live check stands; no fresh contradicting evidence surfaced in 7D.5, but no new confirmation either. This record's date was never stamped until now - that gap is what finding F-7 flagged.",VERIFIED 7D.5
107,BGSU,Bowling Green,Austin Novosad,0,Austin Novosad,0,M,Hustle Belt / Toledo Blade (https://www.hustlebelt.com/bgsu-falcons/44436/who-is-bowling-greens-new-qb-from-oregon-three-fast-facts-about-austin-novosad),2026,2026-08-03,"VERIFIED 2026-08-03: Austin Novosad (Oregon transfer, former 4-star, No.13 QB 2023 class) confirmed as BGSU's projected starter; portal QB was a stated program priority. Record accurate; M retained.",VERIFIED 7D.2
108,BUFF,Buffalo,,,Open (Jason Wright / Mason Cumbie / Elijah Holmes),,L,Black Shoe Diaries / ESPN roster (https://www.blackshoediaries.com/penn-state-football/87803/2026-opponent-snapshot-buffalo-bulls),2026,2026-08-03,"DEFECT CORRECTED 2026-08-03: prior entry listed CJ Ogbonna, who was Buffalo's 2024 SENIOR starter (13 starts, 2,381 yds, 19 TD) and is no longer on the roster - a stale record. HC Pete Lembo's current room is Jason Wright, Mason Cumbie and Elijah Holmes (Wingate transfer, three seasons there). Buffalo News reported UB 'still searching for a starting quarterback' after the spring game. L retained; values blank; UNCERTAIN.",VERIFIED 7D.4
109,CMU,Central Michigan,,,Open (Flores / Beamon / Glasser),,L,Mitten Football (https://mitten-football.ghost.io/the-good-problem-for-central-michigan-at-qb-and-what-to-expect-come-fall/),2026,2026-08-04,"VERIFIED 7D.1 (2026-08-03), STAMPED 7D.5 2026-08-04: Central Michigan's quarterback job is unsettled, with Angel Flores among the contenders alongside Marcus Beamon and Jadyn Glasser; no starter named. -> L retained; values blank; UNCERTAIN. EVIDENCE NOTE: the 7D.1 live check stands; no fresh contradicting evidence surfaced in 7D.5, but no new confirmation either. This record's date was never stamped until now - the F-7 gap.",VERIFIED 7D.5
110,EMU,Eastern Michigan,Noah Kim,0,Noah Kim,0,H,EMU Athletics / Detroit News (https://emueagles.com/news/2026/1/7/football-kim-granted-extra-year-of-eligibility-set-to-return-for-2026-season),2026,2026-07-21,"returning starter | 2025: 2025: MAC-leading 2,817 pass yds, 18 TD; started all 12 | NOTE: NCAA granted extra (6th) year of eligibility for 2026 | established returning starter | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
111,KENT,Kent State,Dru DeShields,0,Dru DeShields,0,H,Wikipedia 2026 Kent State / 247 (https://en.wikipedia.org/wiki/2026_Kent_State_Golden_Flashes_football_team),2026,2026-07-21,"returning starter | 2025: 2025: 2,030 yds, 18 TD, 3 INT (first year as starter) | returning starter | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
112,M-OH,Miami (OH),,,Open (David McComb / Thomas Gotkowski / Caleb Heavner),,L,The Miami Student (https://www.miamistudent.net/article/2025/12/this-will-be-another-game-for-him-gotkowski-stepped-up-as-miami-s-starting-quarterback-to-send-redhawks-to-mac-championship),2026,2026-08-03,"7D.2 CONFLICT RESOLVED 2026-08-03: both prior claims reconciled. Thomas Gotkowski IS on the official Miami roster (RS-So; 5 games, 3 starts in 2025 incl. the MAC title-clinching win). The 'Kansas transfer' is DAVID McCOMB (RS-Fr), NOT Isaiah Marshall - Marshall remains on Kansas's roster. Three-way spring competition: Gotkowski, McComb, and senior transfer Caleb Heavner; entering MAC Media Days the Kansas transfer appeared to hold the projected starting role. Genuine open competition -> L retained; values blank; UNCERTAIN. RECHECK: official depth chart / staff naming.",VERIFIED 7D.4
113,OHIO,Ohio,,,Nick Poulos (leader; not yet named),,M,RotoWire MAC spring / Ohio Athletics (https://www.rotowire.com/cfootball/article/spring-practice-storylines-mid-american-conference-106501),2026,2026-08-03,"VERIFIED 2026-08-03: HC John Hauser says Nick Poulos 'is still in the lead' for the starting job, but Ohio has no Week 1 starter named. Coach-described leader awaiting formal announcement -> M. Numerical values remain BLANK (no new value populated this phase), so status stays UNCERTAIN.",VERIFIED 7D.2
114,SAC,Sacramento State,Carson Conklin,0,Carson Conklin,0,M,The State Hornet / CFN Sac State preview (https://statehornet.com/2026/04/sac-state-football-mid-american-conference-fbs-alonzo-carter/),2026,2026-08-03,"VERIFIED 2026-08-03: Carson Conklin CONFIRMED returning to Sacramento State for 2026 - listed on the official hornetsports.com 2026 roster and announced by Sac State Football ('HE'S BACK') after playing 2025 at Fresno State. He was the Hornets' 2024 starter and was named Fresno State's starter for the stretch run in Oct 2025. Experienced returning-to-program starter, no competition reported -> M retained (no formal 2026 naming located). NOTE: Sacramento State is a transitional program; workbook transitional rules apply separately.",VERIFIED 7D.4
115,TOL,Toledo,John Alan Richter,0,John Alan Richter (returning),0,M,Athlon/ESPN/RotoWire MAC 2026 previews (https://athlonsports.com/college-football/mac-football-2026-predictions),2026,2026-08-04,"VERIFIED 7D.1 (2026-08-03), RE-CONFIRMED 7D.5 2026-08-04: John Alan Richter returns as Toledo's quarterback - 699 pass yds and 7 TD across the past two seasons, one start last year, after sitting behind Dequan Finn and Tucker Gleason for three seasons; coverage calls his holdover 'the biggest testament to the buy-in Coach Mike Jacobs has from the Toledo roster' and says he 'finally gets the keys in 2026.' Toledo was picked THIRD in the 2026 MAC preseason coaches poll. Clear presumptive starter, no formal naming -> M retained; zeros retained; status OK.",VERIFIED 7D.5
116,MASS,UMass,William 'Pop' Watson,0,William 'Pop' Watson,0,M,Daily Hampshire Gazette (https://gazettenet.com/2026/01/12/umass-football-snag-virginia-tech-qb-pop-watson-in-transfer-portal/),2026,2026-08-03,VERIFIED 2026-08-03: William 'Pop' Watson (Virginia Tech transfer) confirmed arriving to lead the program. Record accurate; M retained.,VERIFIED 7D.2
