abbrev,team,conference,active_qb,status_type,prev_school,confidence,confirmed_level,injury_eligibility,stats_2025,candidates,notes,sources,research_date
PITT,Pittsburgh,ACC,Mason Heintschel,backup promotion,,H,incumbent starter (SI High),,"2025: 63.6% comp, 2,354 yds, 16 TD, 8 INT",Mason Heintschel (won job as true Fr midway through 2025),Took over from Eli Holstein 4 games into 2025; won 5 straight.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14)",2026-07-21
SMU,SMU,ACC,Kevin Jennings,returning starter,,H,established returning starter (SI High),,"2025: 66.1% comp, 3,641 yds, 26 TD, 13 INT","Kevin Jennings (returning, 3rd year as starter)",Led league in INTs; rushing dropped sharply from 2024.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14) ; PFF (https://www.pff.com/news/college-football-predicting-every-acc-teams-next-quarterback-for-the-2026-season, 2026-02-11)",2026-07-21
STAN,Stanford,ACC,Davis Warren,transfer / open competition,Michigan,L,open + injury (SI Low),"Torn ACL; last game action Dec 31, 2024",limited; more career INTs than TDs,"Davis Warren (Michigan transfer, medical redshirt) | Dylan Rizk | Mike Mitchell Jr. (Fr)",New HC Tavita Pritchard; genuinely open with injury question.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14)",2026-07-21
SYR,Syracuse,ACC,Steve Angeli,transfer / open competition,Notre Dame,L,open + injury recovery (SI Low),Torn Achilles late September 2025,"2025: 62.8% comp, 1,317 yds, 10 TD, 2 INT",Steve Angeli (Notre Dame transfer) | Amari Odom (Kennesaw State transfer),Recovering from Achilles; Odom competing.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14)",2026-07-21
UVA,Virginia,ACC,Beau Pribula,transfer,Missouri,M,"projected transfer QB1, injury history (SI Medium)",Dislocated ankle late October 2025,"2025: 67.4% comp, 1,941 yds, 11 TD, 9 INT",Beau Pribula (Missouri transfer) | Eli Holstein (Pitt transfer),Holstein (from Pitt) a candidate.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14)",2026-07-21
VT,Virginia Tech,ACC,Ethan Grunkemeyer,transfer,Penn State,H,projected transfer QB1 (SI High),,"PSU 2025: 69.1% comp, 1,339 yds, 8 TD, 4 INT; final 4 games 4-0, 73.8%, 6 TD 0 INT",Ethan Grunkemeyer (Penn State transfer),Strong late-2025 run at Penn State.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14)",2026-07-21
WAKE,Wake Forest,ACC,Gio Lopez,transfer,North Carolina,M,projected transfer QB1 (SI Medium),,"2025: 65.1% comp, 1,747 yds, 10 TD, 5 INT",Gio Lopez (UNC transfer),Reunites with former South Alabama OC Rob Ezell; struggled at UNC.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14)",2026-07-21
BSU,Boise State,Pac-12,Maddux Madsen,returning starter,,H,established returning starter,,Boise State 2025 starter,Maddux Madsen (returning; 3rd year as starter),"5th-year, established returning starter (Boise in rebuilt Pac-12).","Athlon/ESPN/CBS Pac-12 2026 previews (https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more, 2026 offseason)",2026-07-21
CSU,Colorado State,Pac-12,Hauss Hejny,transfer / competition,Oklahoma State (also TCU),L,open competition,,transfers,Hauss Hejny (Oklahoma State/TCU transfer) | Ksaan Farrar (UConn RS Fr transfer),New HC Jim Mora; two-way transfer battle.,"Athlon/ESPN/CBS Pac-12 2026 previews (https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more, 2026 offseason)",2026-07-21
FRES,Fresno State,Pac-12,Khristian Martin,transfer / competition,Maryland,L,open competition,,transfer/returnee,Khristian Martin (Maryland transfer) | Jayden Mandal (returnee),Replacing Carson Conklin (to Sac State); competition.,"Athlon/ESPN/CBS Pac-12 2026 previews (https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more, 2026 offseason)",2026-07-21
ORST,Oregon State,Pac-12,Maalik Murphy,returning / competition,,L,open competition (Murphy leads),,OSU 2025 starter,Maalik Murphy (incumbent) | Brady Atkinson (Mercer transfer) | Brady Jones (Western Michigan transfer),Murphy incumbent but real competition from two transfers.,"Athlon/ESPN/CBS Pac-12 2026 previews (https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more, 2026 offseason)",2026-07-21
SDSU,San Diego State,Pac-12,Jayden Denegal,returning starter,,H,returning starter,,SDSU 2025 starter,Jayden Denegal (returning),Returning starter.,"Athlon/ESPN/CBS Pac-12 2026 previews (https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more, 2026 offseason)",2026-07-21
TXST,Texas State,Pac-12,Brad Jackson,returning starter,,M,projected returning starter,,Emerged at Texas State in 2025,Brad Jackson (emerged as starter late 2025 under GJ Kinne),Texas State in rebuilt Pac-12 for 2026; Jackson the established starter.,"CBS Sports Pac-12 relaunch / Athlon (https://www.cbssports.com/college-football/news/pac-12-relaunch-2026-contenders-teams-to-watch/, 2026 offseason)",2026-07-21
USU,Utah State,Pac-12,McCae Hillstead,transfer (returnee),BYU,M,projected starter,,BYU (prior),McCae Hillstead (back at Utah State after 2 years at BYU),Returned to Utah State; projected to earn the job.,"Athlon/ESPN/CBS Pac-12 2026 previews (https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more, 2026 offseason)",2026-07-21
WSU,Washington State,Pac-12,Caden Pinnick,transfer,UC Davis,M,projected transfer QB1,,"UC Davis (FCS, prior)",Caden Pinnick (UC Davis transfer; Big Sky Freshman of the Year),New QB1 via portal.,"Athlon/ESPN Pac-12 (https://athlonsports.com/college-football/pac-12-football-2026-predictions, 2026 offseason)",2026-07-21
ARMY,Army,American,Cale Hellums,returning starter,,H,returning starter,,Started 10 games 2025 (option offense); won Fenway Bowl,Cale Hellums (returning; 10 starts 2025),Option offense; established starter.,"Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html, 2026 offseason)",2026-07-21
CLT,Charlotte,American,Grayson Loftis,returning starter,,H,returning starter,,"2025: 1,415 yds, 8 TD, 8 INT (ex-Duke)",Grayson Loftis (returning; 7 of last 8 starts 2025),Returning starter; prior Duke experience.,"Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html, 2026 offseason)",2026-07-21
ECU,East Carolina,American,Chaston Ditta,backup promotion,,M,projected promoted starter,,Started 2025 Military Bowl,Chaston Ditta (QB2 promoted; started 2025 Military Bowl),Replaces Katin Houser (to Illinois).,"Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html, 2026 offseason)",2026-07-21
FAU,Florida Atlantic,American,Caden Veltkamp,returning starter,Western Kentucky (2025 transfer),M,projected starter,,FAU 2025 starter (WKU transfer),Caden Veltkamp (returning FAU starter),Projected FAU starter per American projections.,"Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html, 2026 offseason)",2026-07-21
MEM,Memphis,American,Marcus Stokes,transfer / competition,West Florida,L,open competition,,Portal pickup from West Florida,"Marcus Stokes (West Florida transfer) | Noland (competition) | Denzel Gardner (Southern Miss transfer, backup)",Stokes vs Noland for QB1; Southern Miss transfers followed coach Huff.,"Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html, 2026 offseason)",2026-07-21
NAVY,Navy,American,Braxton Woodson,backup promotion,,M,projected promoted starter (option offense),,Some starts 2023-25,Braxton Woodson (3 career starts 2023-25 incl. Notre Dame),Replaces Blake Horvath; option offense.,"Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html, 2026 offseason) ; Underdog Dynasty Navy preview (https://www.underdogdynasty.com/american-conference/43603/2026-american-preseason-previews-navy-midshipmen, 2026 offseason)",2026-07-21
UNT,North Texas,American,Tayven Jackson,transfer,"UCF (also Tennessee, Indiana)",M,projected transfer QB1,,"Prior stops: Tennessee, Indiana, UCF","Tayven Jackson (transfer, joined Jan 10 2026)",Verified transfer to North Texas Jan 10 2026; replaces Drew Mestemaker (to Oklahoma State).,"Wikipedia/247/ESPN roster (Tayven Jackson to UNT) (https://en.wikipedia.org/wiki/Tayven_Jackson, 2026-01)",2026-07-21
RICE,Rice,American,Jacurri Brown,transfer (prev school to confirm),,M,projected starter (prev school to confirm),,partial,Jacurri Brown (projected),Projected Rice QB per American projections; prior school flagged to confirm.,"Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html, 2026 offseason)",2026-07-21
USF,South Florida,American,OPEN (Kromenhoek / Van Buren Jr. / Cooper),open transfer competition,multiple (see candidates),L,3-way open battle,,transfers,Luke Kromenhoek (FSU/Mississippi State) | Michael Van Buren Jr. (Mississippi State/LSU) | KJ Cooper (Texas Southern),"Byrum Brown left for Auburn; genuine 3-QB battle, no named leader.","Yahoo (USF lands portal QB) / Green Gold & Bold (https://sports.yahoo.com/articles/usf-lands-quarterback-transfer-portal-132621762.html, 2026 offseason)",2026-07-21
TEM,Temple,American,Jaxon Smolik,returning starter,Dayton (prior),M,projected starter,,Temple 2025,Jaxon Smolik (returning),Listed atop Temple QB roster per American projections.,"Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html, 2026 offseason)",2026-07-21
TULN,Tulane,American,Kadin Semonza,transfer / competition,Ball State,L,open competition,,transfers,Kadin Semonza (Ball State transfer) | Zeon Chriss-Gremillion (Houston/Louisiana) | Dagan Bruno (RS Soph),Tulane landed 4 portal QBs; only Semonza remains among the marquee names; open battle.,"Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html, 2026 offseason)",2026-07-21
TLSA,Tulsa,American,Baylor Hayes,projected starter (status to confirm),,M,projected starter,,partial,Baylor Hayes (projected),Projected Tulsa QB per American projections.,"Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html, 2026 offseason)",2026-07-21
UAB,UAB,American,Ryder Burton,returning starter,,H,returning starter,,Quality mid-2025 reps; beat ranked Memphis,"Ryder Burton (returning; mid-2025 reps, upset Memphis)",Represented UAB at American media days as QB.,"Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html, 2026 offseason) ; UAB Athletics (media days) (https://uabsports.com/news/2026/7/14/football-mortensen-burton-esonwune-to-represent-uab-at-american-kickoff, 2026-07-14)",2026-07-21
UTSA,UTSA,American,Owen McCown,returning starter,,H,established returning starter,,Multi-year starter; 3 program bowl wins,Owen McCown (returning; 3rd-year starter),Established returning starter.,"Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html, 2026 offseason)",2026-07-21
DEL,Delaware,Conference USA,Nick Minicucci,returning starter,,H,returning starter,,Returning conference-level starter,Nick Minicucci (returning star),Delaware in FBS/C-USA for 2026; returning star.,"Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football, 2026 offseason)",2026-07-21
FIU,FIU,Conference USA,JJ Kohl,transfer,Appalachian State,M,projected transfer QB1,,App State (prior),JJ Kohl (App State transfer),New starter via portal.,"Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football, 2026 offseason)",2026-07-21
JVST,Jacksonville State,Conference USA,Caden Creel,returning starter,,H,returning starter,,Returning conference star,Caden Creel (returning star),Returning starter.,"Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football, 2026 offseason)",2026-07-21
KENN,Kennesaw State,Conference USA,Rickie Collins,transfer,Syracuse,M,projected transfer QB1,,Syracuse (prior),Rickie Collins (Syracuse transfer),Defending C-USA champ gets new QB via portal.,"Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football, 2026 offseason) ; ESPN (C-USA 2026 preview) (https://www.espn.com/college-football/story/_/id/48703296/2026-conference-usa-college-football-preview-season-predictions, 2026 offseason)",2026-07-21
LIB,Liberty,Conference USA,Ethan Vasko,returning starter / open competition,,L,3-way open competition,,Vasko started 10 of 12 in 2025,Ethan Vasko (incumbent; 10 of 12 starts 2025) | two additional QBs with 5+ FBS starts,Three QBs each with 5+ FBS starts; genuinely unresolved.,"Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football, 2026 offseason)",2026-07-21
MTSU,Middle Tennessee,Conference USA,Roman Gagliano,new starter (familiar with team),,M,projected starter,,partial,Roman Gagliano,"New starter, familiar with the team.","Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football, 2026 offseason)",2026-07-21
MOST,Missouri State,Conference USA,Open competition,open competition,,L,open competition (no named leader),,,TBD (open battle under new HC Casey Woods),"New HC Casey Woods; QB battle, no named starter. Missouri State in FBS/C-USA for 2026.","Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football, 2026 offseason) ; ESPN (C-USA 2026 preview) (https://www.espn.com/college-football/story/_/id/48703296/2026-conference-usa-college-football-preview-season-predictions, 2026 offseason)",2026-07-21
NMSU,New Mexico State,Conference USA,Open competition,open competition,,L,open competition (no named leader),,,TBD (rebuild; QB competition),"Program rebuild; QB competition, no named starter.","Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football, 2026 offseason) ; ESPN (C-USA 2026 preview) (https://www.espn.com/college-football/story/_/id/48703296/2026-conference-usa-college-football-preview-season-predictions, 2026 offseason)",2026-07-21
SHSU,Sam Houston,Conference USA,Landyn Locke,projected starter,,M,projected starter,,partial,Landyn Locke,Projected Sam Houston starter.,"Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football, 2026 offseason)",2026-07-21
WKU,Western Kentucky,Conference USA,Rodney Tisdale Jr.,returning starter,,M,projected returning starter,,WKU 2025,Rodney Tisdale Jr. (returning),Projected WKU starter.,"Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football, 2026 offseason)",2026-07-21
AKR,Akron,MAC,Ben Finley,returning starter,"NC State (prior, 2024 transfer)",M,projected returning starter,,Akron starter 2024-25,Ben Finley (veteran) | Tahj Bullock,Veteran; Bullock also saw time.,"ESPN/247 Ben Finley (Akron) (https://www.espn.com/college-football/player/_/id/4431091/ben-finley, 2026 offseason)",2026-07-21
BALL,Ball State,MAC,Keldric Luster,transfer / competition,Texas State,L,open competition,,transfers,"Keldric Luster (Texas State transfer, dual-threat) | Tyler Mizzell (Concord D-II transfer, pass-first)",Two portal QBs to battle; both expected to play.,"College Football News / Hustle Belt (https://collegefootballnews.com/college-football/ball-state-football-preview-2026, 2026 offseason)",2026-07-21
BGSU,Bowling Green,MAC,Austin Novosad,transfer,Oregon,M,projected transfer QB1,,"Oregon (backup, prior)","Austin Novosad (Oregon transfer, former 4-star)",New starter via portal.,"Hustle Belt / Toledo Blade (https://www.hustlebelt.com/bgsu-falcons/44436/who-is-bowling-greens-new-qb-from-oregon-three-fast-facts-about-austin-novosad, 2026 offseason)",2026-07-21
BUFF,Buffalo,MAC,Open (Elijah Holmes / CJ Ogbonna),open competition,Elijah Holmes: Division II,L,3-way open competition,,transfers/backups,Elijah Holmes (D-II transfer) | CJ Ogbonna | (3-way to replace Ta'Quan Roberson),Replacing Ta'Quan Roberson; no named leader.,"Black Shoe Diaries / ESPN roster (https://www.blackshoediaries.com/penn-state-football/87803/2026-opponent-snapshot-buffalo-bulls, 2026 offseason)",2026-07-21
CMU,Central Michigan,MAC,Open (Flores / Beamon / Glasser),open competition,,L,"open competition (platooned 2025, no clear starter)",,trio platooned 2025,Angel Flores (Sr) | Marcus Beamon (Sr) | Jadyn Glasser (RS Fr),Multiple returnees who played in 2025; no clear starter.,"Mitten Football (https://mitten-football.ghost.io/the-good-problem-for-central-michigan-at-qb-and-what-to-expect-come-fall/, 2026 offseason)",2026-07-21
EMU,Eastern Michigan,MAC,Noah Kim,returning starter,,H,established returning starter,NCAA granted extra (6th) year of eligibility for 2026,"2025: MAC-leading 2,817 pass yds, 18 TD; started all 12",Noah Kim (returning; extra eligibility granted),MAC's premier passer; eligibility waiver approved Jan 2026.,"EMU Athletics / Detroit News (https://emueagles.com/news/2026/1/7/football-kim-granted-extra-year-of-eligibility-set-to-return-for-2026-season, 2026-01-07)",2026-07-21
KENT,Kent State,MAC,Dru DeShields,returning starter,,H,returning starter,,"2025: 2,030 yds, 18 TD, 3 INT (first year as starter)",Dru DeShields (returning),Returning starter.,"Wikipedia 2026 Kent State / 247 (https://en.wikipedia.org/wiki/2026_Kent_State_Golden_Flashes_football_team, 2026 offseason)",2026-07-21
M-OH,Miami (OH),MAC,Thomas Gotkowski,backup promotion / competition,,L,unsettled competition (Gotkowski leads),,"Started late 2025, reached MAC Championship",Thomas Gotkowski (incumbent; led team to 2025 MAC title game) | David McComb | Caleb Heavner,"Gotkowski rose from 3rd string in 2025; competition vs McComb, Heavner.","The Miami Student (https://www.miamistudent.net/article/2025/12/this-will-be-another-game-for-him-gotkowski-stepped-up-as-miami-s-starting-quarterback-to-send-redhawks-to-mac-championship, 2025-12)",2026-07-21
OHIO,Ohio,MAC,Open competition,open competition,,L,open competition (no named leader),,,3 returning backups (all on 2025 roster); starter not named,Lost Parker Navarro (graduated); returning backups compete.,"RotoWire MAC spring / Ohio Athletics (https://www.rotowire.com/cfootball/article/spring-practice-storylines-mid-american-conference-106501, 2026 offseason)",2026-07-21
SAC,Sacramento State,MAC,Carson Conklin,transfer (returnee),Fresno State (2025),M,projected starter,,At Fresno State in 2025,Carson Conklin (Jr; returned to Sac State after 2025 at Fresno State),"Sac State's first FBS year (MAC), HC Alonzo Carter; Conklin returned to program.","The State Hornet / CFN Sac State preview (https://statehornet.com/2026/04/sac-state-football-mid-american-conference-fbs-alonzo-carter/, 2026-04)",2026-07-21
TOL,Toledo,MAC,John Alan Richter,projected starter,,M,projected starter,,partial,John Alan Richter,Projected Toledo starter.,"Athlon/ESPN/RotoWire MAC 2026 previews (https://athlonsports.com/college-football/mac-football-2026-predictions, 2026 offseason)",2026-07-21
MASS,UMass,MAC,William 'Pop' Watson,transfer,Virginia Tech,M,projected transfer QB1,,Virginia Tech (prior),"Pop Watson (Virginia Tech transfer, most-likely starter)",UMass in MAC for 2026; Watson transferred in Jan 2026.,"Daily Hampshire Gazette (https://gazettenet.com/2026/01/12/umass-football-snag-virginia-tech-qb-pop-watson-in-transfer-portal/, 2026-01-12)",2026-07-21
WMU,Western Michigan,MAC,Broc Lowry,returning (Soph),,M,projected starter,,partial,Broc Lowry (Soph),Projected WMU starter.,"Athlon/ESPN/RotoWire MAC 2026 previews (https://athlonsports.com/college-football/mac-football-2026-predictions, 2026 offseason)",2026-07-21
AFA,Air Force,Mountain West,Liam Szarka,returning starter,,H,returning starter (option offense),,Air Force 2025,Liam Szarka (returning),Option offense; returning starter.,"Athlon/ESPN/Nevada Sports Net MW 2026 previews (https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions, 2026 offseason)",2026-07-21
HAW,Hawaii,Mountain West,Micah Alejado,returning starter,,H,returning starter,,Hawaii 2025 starter,Micah Alejado (returning),Returning starter.,"Athlon/ESPN/Nevada Sports Net MW 2026 previews (https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions, 2026 offseason)",2026-07-21
NEV,Nevada,Mountain West,Carter Jones,competition,,L,open competition,,partial,Carter Jones | Luke Duncan (UCLA transfer),Jones vs UCLA transfer Duncan; unresolved.,"Athlon/ESPN/Nevada Sports Net MW 2026 previews (https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions, 2026 offseason)",2026-07-21
UNM,New Mexico,Mountain West,Jack Layne,returning starter,,H,returning starter,,New Mexico 2025 starter,Jack Layne (returning),Returning starter under HC Jason Eck.,"Athlon/ESPN/Nevada Sports Net MW 2026 previews (https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions, 2026 offseason)",2026-07-21
NDSU,North Dakota State,Mountain West,Nathan Hayes,first-time starter (returning backup),,M,"named projected starter, no game experience",,No prior college starts,Nathan Hayes (Jr; first career start Aug 29 2026),NDSU's first FBS year (Mountain West); Hayes named projected starter after years as backup.,"Shaw Local / CFN NDSU preview (https://www.shawlocal.com/friday-night-drive/2026/07/20/after-5-years-of-waiting-north-dakota-state-quarterback-st-charles-east-grad-nathan-hayes-gets-his-moment/, 2026-07-20)",2026-07-21
NIU,Northern Illinois,Mountain West,Open (Davidson / Macon / Hamric),open competition,Ean Hamric: Charleston,L,open competition,,returnees + transfer,Brady Davidson | Jalen Macon | Ean Hamric (Charleston transfer),NIU in Mountain West for 2026; 3-way battle.,"Athlon/ESPN/Nevada Sports Net MW 2026 previews (https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions, 2026 offseason)",2026-07-21
SJSU,San Jose State,Mountain West,Luke Weaver,transfer / competition,Hawaii,L,open competition,,Hawaii (prior),"Luke Weaver (Hawaii transfer, RS senior) | Daniel Rolovich (Fr)",Replacing Walker Eget (to Duke); three Spartans battling.,"Spartan Media Group / Duke Chronicle (https://spartanmediagroup.net/9716/sports/three-spartans-battle-for-starting-quarterback/, 2026 offseason)",2026-07-21
UNLV,UNLV,Mountain West,Jackson Arnold,transfer,Auburn (also Oklahoma),M,projected transfer QB1 (verified),,Auburn 2025 (17 total starts OU+AUB),Jackson Arnold (Auburn transfer; former 5-star; 17 career starts),Verified transfer to UNLV; Preseason All-MW 2nd team; replaces Anthony Colandrea (to Nebraska).,"ESPN (Arnold to UNLV) (https://www.espn.com/college-football/story/_/id/47539823/qb-jackson-arnold-headed-unlv-third-team-three-seasons, 2026 offseason) ; CBS Sports (https://www.cbssports.com/college-football/news/jackson-arnold-unlv-five-star-qb-starts-fresh-2026/, 2026 offseason)",2026-07-21
UTEP,UTEP,Mountain West,EJ Colson,transfer,Incarnate Word (also UCF),M,projected transfer QB1,,Incarnate Word (prior),"EJ Colson (Incarnate Word transfer, former UCF)",UTEP joined Mountain West for 2026; new QB via portal.,"Wikipedia 2026 UTEP / Athlon (https://en.wikipedia.org/wiki/2026_UTEP_Miners_football_team, 2026 offseason)",2026-07-21
WYO,Wyoming,Mountain West,Tyler Hughes,transfer,William & Mary,M,projected transfer QB1,,William & Mary (prior),Tyler Hughes (William & Mary transfer),New starter via portal.,"Athlon/ESPN/Nevada Sports Net MW 2026 previews (https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions, 2026 offseason)",2026-07-21
APP,Appalachian State,Sun Belt,Malachi Singleton,transfer,Purdue (also Arkansas),M,projected transfer QB1,,Purdue (prior),Malachi Singleton (Purdue transfer),New QB via portal; only transfer speaking at media days.,"ESPN/Athlon Sun Belt 2026 previews (https://www.espn.com/college-football/story/_/id/48759931/2026-sun-belt-conference-college-football-preview-predictions-every-team, 2026 offseason)",2026-07-21
ARST,Arkansas State,Sun Belt,Open (Owens / Dickey / St. Hilare / Haly),open competition,multiple (see candidates),L,open 4-way competition,,transfers,Trey Owens (Texas) | Drew Dickey (Vanderbilt) | Jeremy St. Hilare (Vanderbilt) | Jaden Haly (Sacred Heart),HC: 'four real capable players'; replaces Jaylen Raynor (to Iowa State).,"College Football News Arkansas State preview (https://collegefootballnews.com/college-football/arkansas-state-football-preview-2026, 2026 offseason)",2026-07-21
CCU,Coastal Carolina,Sun Belt,Open (Jackson / Guerra / Bailey / Lopez),open competition,multiple (see candidates),L,"entirely new QB room, undecided",,all five 2025 QBs left,Trever Jackson (Arkansas transfer) | Tre Guerra (Tyler JC) | Deuce Bailey (Missouri State transfer) | Osiris Lopez (Fr),New HC Ryan Beard; QB decided by Sept 5 opener.,"Coastal Carolina Athletics / Yahoo (https://goccusports.com/news/2026/7/9/ryan-beard-previews-fall-camp-coastal-carolina-football-2026, 2026-07-09)",2026-07-21
GASO,Georgia Southern,Sun Belt,Open (Weston Bryan / Turner Helton),open competition,,L,open competition,,"Bryan: 7/9, 84 yds, 3 pass TD, 111 rush, 3 rush TD; Helton: 14/26, 74 yds, 1 TD",Weston Bryan (played all 13 games 2025 as run threat) | Turner Helton (HC's son),Replaces JC French IV (to Cincinnati); two backups compete.,"ESPN/Athlon Sun Belt 2026 previews (https://www.espn.com/college-football/story/_/id/48759931/2026-sun-belt-conference-college-football-preview-predictions-every-team, 2026 offseason)",2026-07-21
GAST,Georgia State,Sun Belt,Cameran Brown,returning starter,,H,returning starter,,"2025: 1,296 yds, 13 TD (120 comp)",Cameran Brown (returning),Returning starter.,"Georgia State Athletics / 247 (https://georgiastatesports.com/sports/football/roster/cameran-brown/8387, 2026 offseason)",2026-07-21
JMU,James Madison,Sun Belt,Arrington Maiden,transfer / competition,Memphis,M,projected transfer QB1 (some competition),,Memphis (prior),Arrington Maiden (Memphis transfer),Reloads via portal after Alonza Barnett III left (to UCF).,"Underdog Dynasty JMU (https://www.underdogdynasty.com/sun-belt-conference/42407/james-madison-reloads-at-qb-with-memphis-transfer-arrington-maiden, 2026 offseason)",2026-07-21
ULL,Louisiana,Sun Belt,Lunch Winfield,returning starter,,H,returning starter (locked in),,Strong sophomore season,Lunch Winfield (returning; locked in after strong Soph year),Named starter; Walker Howard transferred back to Ole Miss.,"Louisiana Athletics / ESPN (https://ragincajuns.com/sports/football/roster/walker-howard/10140, 2026 offseason)",2026-07-21
LT,Louisiana Tech,Sun Belt,Blake Baker,returning starter,,H,HC-named starter,,LA Tech 2025,Blake Baker (HC-named over Trey Kukuk),HC Sonny Cumbie named Baker the starter; LA Tech in Sun Belt for 2026.,"Ruston Daily Leader (https://www.rustonleader.com/sports/baker-enters-2026-season-techs-starting-qb, 2026 offseason)",2026-07-21
